accession	reads
GCF_001298465.1	207551
GCF_020735905.1	201097
GCF_004104465.2	163220
GCF_002763695.1	153880
GCF_024205685.1	118281
GCF_002849795.1	110240
GCF_000001405.40	89931
GCF_018128125.1	83603
GCF_002082765.1	79095
GCF_007990545.2	76226
GCF_018127765.1	51859
GCF_018127845.1	43574
GCF_002763715.1	33468
GCF_019334725.1	33420
GCF_026057735.1	32716
GCF_946902045.1	29381
GCF_001189555.1	28929
GCF_032163505.1	24844
GCF_003019755.1	23507
GCF_002094955.1	22249
GCF_001553685.1	22247
GCF_018406505.1	21061
GCF_013393365.1	21050
GCF_001554015.1	20003
GCF_002302595.1	18940
GCF_002302415.1	17978
GCF_021222645.1	17269
GCF_001548235.1	15790
GCF_014596425.2	15558
GCF_022404755.1	14073
GCF_002302615.1	14036
GCF_009730375.1	13976
GCF_032340315.1	13700
GCF_018127745.1	13151
GCF_037911965.1	12624
GCF_017753665.1	12135
GCF_018128245.1	11496
GCF_009730295.1	11308
GCF_013267835.1	11174
GCF_030008055.1	11058
GCF_900186995.1	10368
GCF_032342915.1	10187
GCF_900637515.1	10157
GCF_002005185.1	9369
GCF_005221285.1	8990
GCF_008330925.1	8499
GCF_026015965.1	8434
GCF_001274535.1	7774
GCF_013394695.1	7437
GCF_005696695.1	7386
GCF_036323475.1	7236
GCF_946902905.1	7018
GCF_037911955.1	6601
GCF_940796315.1	5706
GCF_018128225.1	5579
GCF_016549395.1	5429
GCF_019931005.1	5070
GCF_000722765.2	4813
GCF_030644385.1	4510
GCF_018128205.1	4303
GCF_021497965.1	4229
GCF_003589745.1	3907
GCF_028743775.1	3887
GCF_900637655.1	3865
GCF_037889265.1	3649
GCF_008253725.1	3613
GCF_963967315.1	3423
GCF_008327825.1	3217
GCF_030644365.1	3199
GCF_002209445.1	3139
GCF_020736165.1	3045
GCF_030219305.1	2781
GCF_900699785.1	2779
GCF_019551945.1	2694
GCF_023822465.1	2631
GCF_900477945.1	2604
GCF_002966695.1	2469
GCF_003351565.1	2365
GCF_018866205.1	2066
GCF_007990365.1	2009
GCF_012273215.1	2008
GCF_900120245.1	1997
GCF_001717585.1	1988
GCF_001683335.1	1975
GCF_038424135.1	1909
GCF_003351545.1	1866
GCF_900636505.1	1805
GCF_034134805.1	1794
GCF_008727815.1	1786
GCF_037967965.1	1696
GCF_002999135.1	1673
GCF_034137685.1	1665
GCF_020735565.1	1556
GCF_008330025.1	1531
GCF_018127805.1	1524
GCF_002240055.1	1519
GCF_900475315.1	1465
GCF_003033925.1	1437
GCF_001553645.1	1392
GCF_002998925.1	1311
GCF_029011355.1	1308
GCF_009731465.1	1258
GCF_018127985.1	1222
GCF_002998595.1	1198
GCF_900187285.1	1161
GCF_001444445.1	1149
GCF_943181435.1	1119
GCF_038630745.1	1115
GCF_037911825.1	1099
GCF_011801285.1	1088
GCF_014250475.1	1011
GCF_030644225.1	962
GCF_001587175.1	899
GCF_016127595.1	856
GCF_032451715.1	839
GCF_000479315.1	827
GCF_002073815.2	821
GCF_022453685.1	788
GCF_001262035.1	762
GCF_007990525.1	738
GCF_018127725.1	720
GCF_037966635.1	713
GCF_024181205.1	691
GCF_024346585.1	652
GCF_037076355.1	648
GCF_030644325.1	626
GCF_900475505.1	625
GCF_019552345.1	618
GCF_902141215.1	609
GCF_026810185.1	585
GCF_006228325.1	578
GCF_000221985.1	566
GCF_003627155.1	561
GCF_004124015.1	559
GCF_016127875.1	545
GCF_007990635.1	542
GCF_001278825.1	541
GCF_003812445.1	538
GCF_024760065.1	511
GCF_963677685.1	490
GCF_900636745.1	475
GCF_020736205.1	475
GCF_027474965.1	469
GCF_022845615.1	466
GCF_017347605.1	463
GCF_019334785.1	461
GCF_020097435.1	451
GCF_017161265.1	444
GCF_003627135.1	435
GCF_020097375.1	428
GCF_002355895.1	415
GCF_017798005.1	390
GCF_037955985.1	381
GCF_900636445.1	375
GCF_002998835.1	370
GCF_020735385.1	353
GCF_022749515.1	349
GCF_900638305.1	339
GCF_022024195.1	338
GCF_019334745.1	336
GCF_003265305.2	329
GCF_024181185.1	323
GCF_024181165.1	322
GCF_002998535.1	322
GCF_018622975.1	321
GCF_036320655.1	315
GCF_951229915.1	301
GCF_003101015.1	287
GCF_001262055.1	286
GCF_014898075.1	282
GCF_024181085.1	281
GCF_008369705.1	280
GCF_037963785.1	279
GCF_000803625.1	276
GCF_001483985.1	268
GCF_020162275.1	268
GCF_019551475.1	259
GCF_963360645.1	257
GCF_024181145.1	256
GCF_016887735.2	252
GCF_004803835.1	251
GCF_037076525.1	247
GCF_002327085.1	247
GCF_900478185.1	245
GCF_023035175.1	245
GCF_022024075.1	243
GCF_009671065.1	242
GCF_013394735.1	242
GCF_016127115.1	242
GCF_014334035.1	241
GCF_022024015.1	236
GCF_002216145.1	226
GCF_001683375.1	223
GCF_000775995.1	223
GCF_019249725.2	221
GCF_027125355.1	218
GCF_011612265.2	215
GCF_900636515.1	213
GCF_900638345.1	211
GCF_024181625.1	208
GCF_020091485.1	208
GCF_027945475.1	208
GCF_022024035.1	207
GCF_029691405.1	207
GCF_010443215.1	207
GCF_024759225.1	207
GCF_008728395.1	205
GCF_005697565.1	203
GCF_002998435.1	203
GCF_019930845.1	202
GCF_018389405.1	200
