accession	seq_abundance
GCF_000364385.3	0.4898599072570389
GCF_016415705.1	0.0031452386076816215
GCF_009648975.1	0.0027930501477234928
GCF_000157115.2	0.01986440744291612
GCF_001053035.1	0.010927625271478605
GCF_016889385.1	0.002822399186053337
GCF_900477945.1	0.0010223248351562348
GCF_002208725.2	0.05162984992858401
GCF_002849795.1	0.032552975014185366
GCF_018128125.1	0.027896260932516778
GCF_001548195.1	0.001912578997828171
GCF_000163055.2	0.0011592870140288403
GCF_001683355.1	0.0011788530395820697
GCF_001314995.1	0.017183861942123697
GCF_018289135.1	0.002186503355573382
GCF_020885855.1	0.016782758418282494
GCF_902858935.1	0.017428437261539063
GCF_001553685.1	0.0014772349292688177
GCF_032340315.1	0.0012326596098534504
GCF_034134805.1	0.0010467823670977715
GCF_900459355.1	0.004705629145551664
GCF_000960005.1	0.003052299986303782
GCF_000722675.1	0.0018783384531100198
GCF_002076835.1	0.0022011778747383043
GCF_019931005.1	0.0034729695356982134
GCF_000418345.1	0.0011886360523586843
GCF_902375065.1	0.012957600422626152
GCF_013393365.1	0.012194525426050207
GCF_018406505.1	0.00694104756500812
GCF_026057735.1	0.004945312958578724
GCF_900637515.1	0.004578449979455673
GCF_900186885.1	0.0023577060791641394
GCF_002998925.1	0.0012424426226300652
GCF_001060545.1	0.005625232346553445
GCF_900445025.1	0.0010174333287679275
GCF_001298465.1	0.004519751902795985
GCF_000001405.40	0.2230184507620967
