TaxonomyInput	nb_genomes	Reads
47678	1	1160133
246787	1	972403
820	1	838086
821	1	653905
239935	1	525437
853	1	258585
2528203	1	245987
28116	1	191034
818	1	176450
2585118	1	110448
371601	1	101518
2479767	1	94825
2109691	1	91855
301301	1	89628
2093857	1	88027
1680	1	84905
823	1	78209
1550024	1	75858
817	1	75500
2109688	1	75210
562	1	74798
649756	1	64652
329854	1	53588
357276	1	50067
244366	1	43277
44742	1	39343
28901	1	38324
292800	1	38036
74426	1	37123
28118	1	35821
33025	1	33557
1160721	1	31999
39488	1	27698
1496	1	24483
1796613	1	21392
1681	1	20764
2109687	1	19110
2610895	1	15663
2585119	1	14759
28026	1	14549
2364787	1	14435
2109690	1	12135
2086584	1	12046
1297617	1	11405
2584943	1	11289
33038	1	11131
294	1	11051
28113	1	8728
84112	1	8528
208479	1	8091
2093856	1	7721
2086585	1	6651
29347	1	6576
626937	1	5714
1335613	1	5712
1834198	1	5252
1871021	1	4771
33035	1	4526
28131	1	4433
2025876	1	4292
216816	1	4254
1686	1	4149
1796616	1	3568
2093742	1	3513
1834196	1	3341
1042156	1	3256
1352	1	3247
1491	1	3171
1912897	1	2928
53442	1	2784
2109692	1	2750
28132	1	2712
2662363	1	2631
1736	1	2587
47466	1	2579
1685	1	2450
253239	1	2426
2507162	1	2396
2564099	1	2382
2041044	1	2267
1307	1	2084
1572656	1	2030
1834207	1	2024
40324	1	1911
1308	1	1901
84030	1	1869
56	1	1830
28129	1	1810
28135	1	1774
54571	1	1772
303	1	1655
85698	1	1654
197	1	1622
2109685	1	1616
28119	1	1613
1502	1	1528
2606626	1	1369
2003188	1	1360
837	1	1347
2507160	1	1345
185007	1	1342
316	1	1336
1492	1	1334
84110	1	1330
712991	1	1327
192	1	1290
1177574	1	1281
384	1	1278
1076	1	1273
587753	1	1202
305	1	1197
1852373	1	1181
34073	1	1134
2576606	1	1129
2490939	1	1101
2144175	1	1071
644	1	1069
907	1	1063
851	1	1053
1229621	1	1012
1197717	1	1005
195	1	1003
287	1	950
2696063	1	944
1702221	1	898
300	1	892
615	1	890
2133944	1	879
712710	1	878
358	1	874
1501	1	866
29343	1	854
185008	1	843
1642647	1	835
76123	1	830
106590	1	814
29549	1	812
79329	1	811
1542	1	798
184914	1	787
217203	1	774
2582419	1	774
712411	1	771
1796646	1	766
1304	1	760
1513	1	760
617123	1	759
28095	1	758
2161821	1	746
856	1	745
36745	1	738
84032	1	734
622	1	731
901	1	729
502558	1	726
573	1	717
1909395	1	715
1520	1	712
1561	1	685
79604	1	672
94132	1	671
1428	1	663
2094242	1	663
1505	1	656
103733	1	650
47763	1	644
1216932	1	644
1534	1	643
46867	1	642
33033	1	636
169679	1	632
654	1	631
1888	1	627
876	1	623
1679721	1	606
1280	1	606
34	1	601
135487	1	600
2681984	1	597
1716143	1	597
35	1	594
2583823	1	594
82996	1	593
82633	1	583
2656914	1	582
2528023	1	580
44251	1	577
39950	1	569
1270	1	568
1396	1	562
1969	1	554
103855	1	553
89152	1	551
121719	1	548
2663009	1	547
1063	1	540
37326	1	539
48	1	537
187327	1	532
1642646	1	532
1806508	1	531
29341	1	529
1903704	1	524
317	1	523
2674991	1	522
562959	1	518
69	1	515
1531429	1	512
2320868	1	509
182773	1	509
314722	1	508
406548	1	507
37329	1	502
1683	1	501
2583377	1	501
1548	1	498
1660	1	496
1636152	1	495
317577	1	494
394958	1	492
37332	1	492
1653480	1	490
114	1	490
380021	1	489
641491	1	488
197614	1	487
713030	1	486
1884263	1	485
87883	1	476
382	1	474
67304	1	473
2599308	1	472
210	1	469
755731	1	468
649831	1	466
51515	1	465
1841249	1	464
860235	1	463
2704462	1	462
1398	1	461
1712675	1	461
1424294	1	460
888845	1	460
1834205	1	459
2653857	1	458
2018025	1	457
32002	1	457
1517	1	453
2082193	1	452
28025	1	452
1351	1	452
54006	1	450
1117645	1	450
861299	1	450
408	1	449
13690	1	447
1586287	1	445
496014	1	443
2597769	1	443
1299	1	442
1275	1	440
28448	1	439
1768108	1	438
83656	1	438
1871025	1	435
2487118	1	434
1639	1	433
1488	1	433
253	1	432
1465	1	431
980427	1	430
1761012	1	429
2014	1	427
35554	1	427
95486	1	426
433296	1	426
80869	1	426
2579971	1	426
1406	1	425
712538	1	424
2321403	1	423
1744	1	422
292	1	422
588932	1	421
2697030	1	420
114527	1	420
645	1	419
61647	1	417
1791	1	415
1411117	1	413
1536773	1	413
1393	1	412
548	1	412
96344	1	411
1504	1	411
43	1	410
2483110	1	409
52	1	408
169760	1	407
2576307	1	407
1219491	1	407
2202148	1	405
1358	1	405
404589	1	405
2126346	1	404
223967	1	404
1725	1	404
1694	1	402
1624	1	401
321983	1	399
1423	1	399
2068654	1	398
49319	1	396
1912	1	395
1356852	1	395
347534	1	394
55518	1	394
2694929	1	394
528244	1	394
946333	1	393
337	1	392
1134687	1	392
116090	1	391
2448483	1	391
2507159	1	389
2081703	1	388
1297742	1	388
1871034	1	388
2571749	1	387
1689	1	387
2607656	1	386
443143	1	386
57704	1	385
861	1	384
179636	1	384
2488560	1	383
847	1	383
1838286	1	383
794903	1	383
1710	1	383
119219	1	381
1836	1	380
1282	1	380
2303331	1	379
1166950	1	379
34105	1	379
1658665	1	379
1108595	1	378
930166	1	378
94	1	377
2292766	1	377
55583	1	376
1823	1	374
1498	1	373
296842	1	373
298654	1	372
1716543	1	371
1661	1	370
879274	1	369
217204	1	368
553814	1	368
927083	1	366
2681766	1	366
1536772	1	366
53408	1	366
2293838	1	365
2681549	1	364
1972068	1	363
2220096	1	363
1804986	1	363
1433126	1	363
2678688	1	362
2507161	1	362
35806	1	362
1555112	1	359
947516	1	358
1334193	1	358
29430	1	357
2546351	1	357
36809	1	356
2014887	1	356
446	1	356
84531	1	355
346	1	355
2697032	1	355
332101	1	354
68570	1	354
285	1	354
1855912	1	353
1421	1	353
1703	1	352
208962	1	350
339	1	347
1494	1	346
571	1	346
946334	1	346
353	1	346
550	1	345
1889813	1	344
2711231	1	344
2704463	1	342
2024580	1	342
65741	1	341
2509456	1	341
1590	1	341
926	1	340
1182571	1	340
1851544	1	340
582	1	340
78587	1	339
859	1	339
1462996	1	338
2697043	1	338
1915	1	337
2010972	1	337
1525	1	336
1397	1	336
128780	1	336
29552	1	336
1391654	1	335
106592	1	332
1575	1	331
68895	1	331
2604421	1	329
2602070	1	328
470934	1	328
1408	1	328
1126833	1	328
1314	1	328
1404	1	327
542	1	327
35760	1	326
1311	1	326
1670830	1	325
2136401	1	325
536	1	325
1305	1	324
1824	1	323
110937	1	323
1519	1	323
709810	1	323
1677857	1	321
1896961	1	321
2497861	1	321
47671	1	320
996	1	319
2045452	1	317
79263	1	317
2072590	1	316
1749	1	315
1598	1	315
1307763	1	315
2548456	1	314
1047172	1	314
1842727	1	314
623	1	313
747	1	313
189381	1	313
945844	1	313
2126319	1	313
864828	1	313
274	1	312
1613	1	312
28450	1	311
652764	1	311
55508	1	311
1401	1	311
380	1	311
237610	1	311
584	1	311
2315862	1	310
2109913	1	309
2502781	1	309
871742	1	308
1404864	1	308
1678028	1	307
2319843	1	307
477641	1	307
1644131	1	307
1484118	1	307
321984	1	306
426117	1	305
1823759	1	305
2560053	1	304
158822	1	303
1967	1	302
1411621	1	302
393921	1	301
1909732	1	301
83655	1	301
1927	1	300
2061	1	300
463025	1	300
1632864	1	299
2653200	1	299
455432	1	299
1562970	1	299
66425	1	299
2583243	1	299
408015	1	298
1914461	1	298
1758194	1	297
57975	1	297
1608957	1	297
414771	1	297
2233999	1	297
1208324	1	296
1079	1	296
2074	1	295
68270	1	294
66871	1	294
1779382	1	293
1748	1	293
2173034	1	293
2026787	1	292
311180	1	292
68214	1	292
1571	1	291
661488	1	291
69666	1	290
47880	1	290
1986146	1	289
94624	1	289
37928	1	289
947919	1	289
358220	1	289
37927	1	289
745310	1	288
324057	1	288
2585135	1	288
1901	1	287
1616117	1	287
40318	1	286
47885	1	286
649196	1	286
2116657	1	286
1168034	1	286
1077946	1	285
2282738	1	285
564	1	284
93220	1	284
259	1	283
59814	1	283
2560010	1	283
1940610	1	282
146919	1	282
1907	1	281
2502779	1	281
75105	1	280
1260	1	280
1679497	1	280
39645	1	279
2686304	1	279
511	1	279
964	1	279
1885	1	279
1582259	1	278
2283195	1	278
2528008	1	278
1497	1	278
674703	1	277
1851505	1	277
120683	1	277
76759	1	277
147802	1	277
2652443	1	277
92947	1	276
795665	1	275
1250539	1	275
396	1	275
2712223	1	274
2498135	1	274
2602015	1	274
157687	1	274
580165	1	274
38289	1	274
2528009	1	274
61435	1	273
2599640	1	273
436515	1	272
1788	1	272
1416803	1	272
1536774	1	272
218208	1	272
1842534	1	271
323450	1	270
1141883	1	269
76853	1	269
169430	1	269
2528010	1	269
29449	1	268
556288	1	268
2059672	1	268
1830	1	268
470	1	268
756892	1	268
1603606	1	268
1810504	1	267
1940	1	267
2597701	1	267
254	1	267
656366	1	267
76731	1	267
1658672	1	266
1616788	1	266
1765049	1	266
1736675	1	266
449461	1	266
2496836	1	265
33959	1	265
1077935	1	264
571177	1	264
2027405	1	264
443144	1	264
38300	1	264
68209	1	264
1387353	1	264
51669	1	263
2377	1	263
2005884	1	263
1257021	1	263
1870820	1	263
511062	1	262
123899	1	262
33050	1	262
1799	1	262
1349819	1	261
1806905	1	261
748280	1	261
2579935	1	261
2483799	1	261
2009329	1	260
538381	1	260
345632	1	260
1612173	1	259
1658671	1	259
1385663	1	259
2789776	1	259
471827	1	259
155892	1	259
670	1	259
549	1	258
1335	1	258
375	1	258
652	1	258
2055	1	257
2006	1	257
158847	1	257
1850093	1	256
1583098	1	255
2571747	1	255
1893	1	254
1792	1	254
279826	1	254
196162	1	253
463040	1	253
1750	1	253
67267	1	252
530584	1	252
85643	1	252
1714373	1	252
1639348	1	251
1679444	1	251
2584940	1	251
1772	1	251
29382	1	251
1663591	1	251
2066070	1	251
1416806	1	251
1173025	1	251
147645	1	251
288000	1	250
2488809	1	250
661481	1	250
481743	1	250
1484116	1	249
47883	1	249
2161816	1	249
1870819	1	249
400092	1	248
43675	1	248
536441	1	248
1940612	1	248
151783	1	247
47850	1	247
1463165	1	247
31958	1	247
193462	1	247
236753	1	247
244566	1	247
1511	1	246
68175	1	246
682998	1	246
1452	1	246
2594003	1	246
1390395	1	246
2610896	1	245
298653	1	245
36818	1	245
347	1	245
51101	1	244
84022	1	244
2109914	1	244
2233851	1	244
2527982	1	244
686597	1	244
1620215	1	244
1579979	1	243
1930071	1	243
41899	1	243
208439	1	242
83263	1	242
257708	1	242
1379270	1	242
1795355	1	242
392734	1	242
1792508	1	242
1589	1	242
28035	1	242
41977	1	242
1331682	1	241
47917	1	241
28197	1	241
36874	1	241
1906741	1	240
29542	1	240
304207	1	239
2598579	1	239
1391653	1	239
76758	1	239
366602	1	239
1867715	1	238
60890	1	238
1889	1	238
1868589	1	238
1592106	1	238
556499	1	238
28251	1	237
2528018	1	237
758793	1	237
54291	1	237
1548548	1	237
2712222	1	237
1850374	1	237
29391	1	237
2045208	1	237
1850238	1	236
266	1	236
2703788	1	236
1082851	1	236
1552759	1	236
1420917	1	236
101571	1	236
437897	1	236
1178516	1	235
2572036	1	235
1849032	1	235
82541	1	235
1405	1	235
1842539	1	235
445710	1	234
33945	1	234
399497	1	234
664962	1	234
1290	1	234
162496	1	234
445576	1	234
488447	1	234
1882682	1	233
2067960	1	233
1134435	1	233
1771	1	233
274537	1	233
2584944	1	233
1977088	1	233
1908	1	233
162	1	233
67780	1	232
1905	1	232
158836	1	232
2478662	1	232
2603206	1	232
435897	1	232
221822	1	232
1756988	1	231
216929	1	231
42197	1	231
2662361	1	230
34004	1	230
1248727	1	230
2528035	1	230
1332264	1	230
564064	1	230
1903186	1	230
74829	1	230
39152	1	230
1191459	1	230
1469502	1	229
312306	1	228
672	1	228
1610493	1	228
2060312	1	228
33970	1	227
1717717	1	227
109328	1	227
1541959	1	227
2057025	1	227
1355477	1	227
2500532	1	227
388950	1	226
1690815	1	226
748247	1	226
2509675	1	226
158500	1	226
459526	1	225
160799	1	225
1176587	1	225
2202826	1	225
1389713	1	225
2054	1	225
571913	1	225
392593	1	225
35814	1	224
180282	1	224
2202254	1	223
33940	1	223
727	1	223
1539298	1	223
1549858	1	223
362257	1	223
1670831	1	222
2213200	1	222
2706887	1	222
2202828	1	222
1094	1	222
1904616	1	222
1309	1	222
495	1	221
2508168	1	221
39695	1	221
285570	1	221
47421	1	221
2561924	1	221
33059	1	220
33905	1	220
1179673	1	220
2665642	1	220
2493672	1	220
897	1	220
134601	1	220
2691571	1	219
585455	1	219
1932	1	219
2057741	1	219
33899	1	219
2584122	1	219
2171623	1	219
296591	1	219
262324	1	218
68249	1	218
1960	1	217
2079536	1	217
2490858	1	217
2596828	1	217
2304600	1	216
450378	1	216
1437453	1	216
2211210	1	216
168471	1	216
959	1	216
379347	1	216
889453	1	216
1061	1	216
2293317	1	215
698828	1	215
2341117	1	215
2675754	1	215
540747	1	215
2496837	1	215
561061	1	215
373	1	214
329	1	214
398053	1	214
1560345	1	214
319707	1	214
61652	1	214
1486262	1	214
2174846	1	214
1783515	1	214
1340425	1	214
178899	1	213
1197460	1	213
1778678	1	213
479978	1	213
2304594	1	212
2045	1	212
1697043	1	212
1664069	1	212
227605	1	212
1858609	1	212
69218	1	212
2599293	1	211
206506	1	211
453783	1	211
2591109	1	211
2497860	1	211
2184053	1	211
2493669	1	210
36813	1	210
2704465	1	210
2382161	1	210
182710	1	210
84135	1	210
1426	1	210
2707005	1	210
28141	1	210
2212991	1	209
250	1	209
146923	1	209
2520506	1	209
2599297	1	208
1193713	1	208
553510	1	208
2562284	1	208
335406	1	208
1354	1	208
66269	1	208
238	1	207
1176536	1	207
1302	1	207
2605945	1	207
1482074	1	207
477680	1	207
2604832	1	207
1357915	1	207
1965282	1	207
1912856	1	207
2080419	1	207
68203	1	207
539	1	206
162209	1	206
484770	1	206
2591145	1	206
1690221	1	206
2615203	1	205
42253	1	205
2033869	1	205
442	1	205
39960	1	205
2672569	1	205
1707785	1	204
2651974	1	204
2596949	1	204
1617283	1	204
216778	1	204
2071627	1	203
2571029	1	203
482957	1	203
53462	1	203
2508882	1	203
37919	1	203
34085	1	203
682798	1	203
1916	1	203
2057800	1	203
158899	1	203
1288	1	203
364410	1	203
2589074	1	202
1404367	1	202
45398	1	202
279113	1	202
414996	1	202
1793	1	201
1842536	1	201
413882	1	201
2686094	1	201
2017484	1	201
