TaxonomyInput	nb_genomes	Reads
1211326	1	522
2021234	1	521
1636152	1	520
103733	1	520
576610	1	520
2654982	1	517
1379870	1	517
864828	1	516
1661	1	516
1355477	1	514
84032	1	514
2162713	1	512
406548	1	512
1884263	1	511
2518177	1	510
2171623	1	510
795665	1	510
61647	1	509
37332	1	509
1969	1	508
2718	1	508
79604	1	505
876	1	505
2209	1	504
1416627	1	503
1813871	1	503
320787	1	502
74829	1	500
37326	1	499
2557994	1	499
2045208	1	498
1303	1	497
1297742	1	496
28037	1	496
859	1	494
945844	1	494
1592106	1	493
404589	1	493
380021	1	493
29341	1	491
413882	1	490
930166	1	490
217204	1	489
44251	1	488
2704462	1	486
321983	1	485
1904640	1	484
1416806	1	484
2571746	1	484
1492737	1	484
1465	1	483
584	1	482
2704463	1	482
1505	1	480
1906741	1	480
93218	1	477
57704	1	476
2015076	1	476
1379909	1	476
37329	1	476
1316596	1	476
221822	1	474
756892	1	474
433296	1	474
29494	1	473
339	1	473
463014	1	473
542	1	473
61652	1	473
2527975	1	472
732	1	471
1526658	1	470
1404	1	469
645	1	468
2562284	1	467
1637999	1	466
94	1	465
63186	1	465
128780	1	464
13690	1	463
2487118	1	463
346	1	463
2109913	1	460
2605747	1	460
2653857	1	460
1334193	1	459
1536772	1	459
2066070	1	459
2656914	1	458
314722	1	456
2202148	1	455
112234	1	455
1538644	1	455
1972068	1	454
674703	1	453
1736675	1	453
2058175	1	452
1492898	1	452
980427	1	451
1678028	1	450
1648923	1	448
430522	1	448
2061	1	448
1120045	1	447
259	1	446
1613	1	446
28449	1	446
1265445	1	446
2599401	1	446
529	1	445
1608957	1	444
2027857	1	444
1234841	1	443
1108595	1	443
279058	1	442
1179672	1	442
1536773	1	442
1176587	1	441
2527990	1	441
347	1	440
1891926	1	440
39777	1	440
879274	1	440
1416803	1	440
1842727	1	439
1586287	1	439
2183896	1	439
52	1	438
1779382	1	438
2027405	1	438
114527	1	438
198107	1	438
1404864	1	437
1296669	1	437
1219491	1	436
1745854	1	436
713030	1	436
947919	1	436
28197	1	436
655015	1	436
65058	1	435
2126319	1	434
1082851	1	434
2712222	1	434
190721	1	434
2528026	1	433
172042	1	432
353	1	432
94624	1	432
1735038	1	431
980251	1	430
1940762	1	430
1632864	1	430
436515	1	428
324057	1	427
2014	1	427
1679721	1	426
110937	1	425
1748	1	425
2069432	1	425
445710	1	424
2014887	1	424
2571748	1	424
1677857	1	424
1079	1	424
43306	1	423
1575	1	423
356837	1	423
2601898	1	423
748280	1	422
281093	1	422
1795355	1	422
712538	1	422
488447	1	421
1744	1	420
1493872	1	420
83656	1	419
712411	1	419
180282	1	418
996801	1	418
169430	1	417
321984	1	416
1716143	1	416
530584	1	415
437900	1	415
2585771	1	415
2507161	1	415
717785	1	414
588932	1	414
2496266	1	414
2594003	1	414
571177	1	413
1548	1	412
1014	1	412
1447062	1	411
1010	1	411
2015316	1	411
1571	1	410
2026787	1	410
2697032	1	409
197614	1	409
2231055	1	408
158822	1	407
173	1	407
55518	1	407
187327	1	405
1850526	1	405
363852	1	405
237609	1	404
1697043	1	404
83655	1	404
438	1	403
1807691	1	403
666	1	402
62322	1	402
1792508	1	401
1761453	1	401
2602016	1	400
421525	1	400
1324352	1	399
755731	1	399
1882682	1	399
573737	1	398
1940612	1	398
1784714	1	398
145261	1	398
96345	1	397
1868589	1	397
60847	1	397
279113	1	397
2678688	1	396
123899	1	396
496014	1	396
1401	1	396
2528018	1	396
1694	1	395
546	1	395
182773	1	395
83263	1	394
2233851	1	394
169760	1	394
199	1	394
2589080	1	393
1308	1	393
2211140	1	392
1580	1	392
442	1	392
76758	1	391
1235591	1	391
1678728	1	391
1915	1	390
1270	1	390
33050	1	389
2545455	1	389
528244	1	389
2697043	1	389
1714848	1	388
2598579	1	387
536	1	387
28189	1	387
2371	1	386
2072590	1	386
104087	1	386
521	1	386
1841249	1	386
172045	1	386
1124835	1	385
60890	1	385
1585976	1	385
1542	1	385
712310	1	385
1926494	1	385
57320	1	385
1848904	1	384
2528009	1	384
189381	1	383
2047	1	383
39695	1	383
204773	1	383
1328	1	382
538381	1	382
1134435	1	381
1842540	1	381
683124	1	380
1605891	1	380
2597769	1	380
349221	1	379
312306	1	379
2662364	1	379
1197460	1	379
2703789	1	378
173366	1	378
189426	1	378
649831	1	377
266	1	377
1603606	1	377
1834205	1	376
1804624	1	376
1768242	1	376
69666	1	376
49319	1	376
871742	1	375
93221	1	375
66871	1	374
2548456	1	374
1710	1	374
1630693	1	374
426117	1	374
2057741	1	374
1829	1	374
1679497	1	373
157687	1	373
52773	1	372
35760	1	372
562959	1	372
396	1	371
237610	1	371
1664069	1	371
51101	1	371
2303538	1	371
82996	1	371
682798	1	371
1791	1	370
65741	1	370
2528008	1	370
1411117	1	370
1772	1	370
1804986	1	369
2183911	1	369
2571747	1	369
201	1	368
93222	1	368
2054	1	367
48296	1	367
2713414	1	366
34004	1	366
1851148	1	366
2591634	1	366
46680	1	366
169765	1	366
758793	1	365
147645	1	365
1609758	1	365
2579971	1	364
1938605	1	363
2674991	1	362
33905	1	362
2583823	1	362
2686365	1	362
481743	1	362
1940610	1	362
2509459	1	362
539	1	361
2233999	1	360
571	1	359
288000	1	359
54006	1	358
1598	1	358
1869241	1	358
2489595	1	358
449461	1	358
1306519	1	358
2487072	1	357
43768	1	357
1836	1	357
860235	1	356
76759	1	356
82380	1	356
1702325	1	356
2478552	1	356
345632	1	355
455432	1	354
311180	1	353
342113	1	353
1463165	1	353
2528010	1	352
2663022	1	352
44742	1	352
1749	1	351
656179	1	351
82541	1	351
1387353	1	351
242600	1	350
2582905	1	350
2496847	1	350
2499144	1	350
373994	1	349
1851544	1	348
435897	1	348
46867	1	348
1309	1	348
1892855	1	348
2528021	1	348
1686310	1	347
358220	1	347
1094	1	347
151783	1	346
2126553	1	346
1210884	1	346
446679	1	345
2059672	1	345
627192	1	345
340345	1	345
482957	1	345
31958	1	344
1823	1	344
986	1	344
1218801	1	344
1689	1	344
1850374	1	344
47880	1	343
2183582	1	343
1325107	1	343
1176533	1	342
1379270	1	342
1391653	1	342
1462996	1	342
204042	1	342
1725	1	342
2599640	1	342
1248727	1	341
2109914	1	341
651561	1	341
2045	1	340
1933220	1	340
2697030	1	340
2579250	1	339
412690	1	339
2021862	1	339
1930071	1	339
2011159	1	338
2572036	1	338
2651974	1	338
89152	1	338
861	1	337
1896961	1	337
68895	1	337
1420917	1	337
122	1	337
680	1	336
946334	1	336
709810	1	336
35554	1	336
587	1	336
1561	1	336
1907	1	335
2703788	1	335
1221500	1	335
1214604	1	335
414771	1	335
379684	1	335
1870820	1	335
263	1	334
59814	1	334
221027	1	333
2067960	1	333
1986146	1	332
38293	1	332
298653	1	332
115808	1	332
1357916	1	331
2602015	1	331
237258	1	331
271865	1	331
1851395	1	331
225992	1	331
35806	1	331
387093	1	331
1905	1	330
1579979	1	330
108981	1	330
676	1	329
2587853	1	328
37919	1	328
1286181	1	328
2518645	1	328
1457365	1	328
2282738	1	327
2487892	1	327
317577	1	327
169427	1	327
714	1	327
2082386	1	326
170679	1	326
1716543	1	326
207745	1	326
39645	1	326
244366	1	325
2602769	1	325
417280	1	325
2593958	1	325
47883	1	324
2018025	1	324
169679	1	324
1761016	1	324
1525	1	324
1250539	1	323
2651334	1	323
