Taxonomy	NbGenomes	Reads
821	1	1575095
820	1	741725
817	1	607591
818	1	551080
853	1	434808
28116	1	194573
28118	1	166080
823	1	146400
2585119	1	128884
239935	1	128802
357276	1	127178
371601	1	118565
2528203	1	109742
28901	1	87286
2364787	1	85050
2585118	1	72630
301301	1	43970
244366	1	42077
1160721	1	39316
1796613	1	39187
2093857	1	30354
1550024	1	29168
292800	1	27242
2093856	1	26388
47678	1	20130
2109688	1	20087
1496	1	19090
649756	1	17372
329854	1	15130
2479767	1	15108
2086584	1	14664
626937	1	14451
2109691	1	13611
33038	1	13402
294	1	12606
74426	1	12291
2109687	1	11924
2025876	1	11725
2564099	1	8915
2610895	1	8438
246787	1	8321
208479	1	7004
39488	1	6876
2109690	1	6719
28113	1	5984
33035	1	5612
2499213	1	5247
1352	1	4879
1297617	1	4558
2584943	1	4392
2662363	1	4162
29347	1	3745
1871021	1	3563
84030	1	3143
2584944	1	3073
1834198	1	2959
1491	1	2853
2086585	1	2645
876	1	2608
28119	1	2531
28131	1	2423
2606626	1	2394
1912897	1	2393
1834196	1	2280
84112	1	2042
2507162	1	2016
1736	1	1918
253239	1	1826
2490939	1	1770
2093742	1	1661
1492	1	1595
1335613	1	1484
2109692	1	1456
837	1	1446
562	1	1438
1834207	1	1379
56	1	1373
2041044	1	1355
1796616	1	1297
2576606	1	1273
303	1	1258
40324	1	1242
54571	1	1226
1572656	1	1201
712710	1	1169
1502	1	1167
644	1	1151
2696063	1	1132
1307	1	1122
85698	1	1100
2494234	1	1093
1796646	1	1070
316	1	1054
1679444	1	1044
1076	1	1025
851	1	1004
1042156	1	989
79329	1	981
34073	1	967
384	1	963
192	1	957
2173	1	948
185007	1	946
1642647	1	930
185008	1	923
28026	1	921
28129	1	896
1642646	1	887
587753	1	854
216816	1	849
2109685	1	844
53442	1	840
28037	1	831
305	1	829
615	1	821
29343	1	796
1685	1	790
1932	1	775
28132	1	773
358	1	763
197	1	762
29549	1	762
29430	1	752
1396	1	742
1712675	1	723
1358	1	715
617123	1	700
287	1	699
28095	1	699
2133944	1	693
861299	1	693
1501	1	693
1702221	1	690
1197717	1	670
1280	1	670
1911586	1	665
2144175	1	657
195	1	642
2448483	1	642
84110	1	638
300	1	633
907	1	625
1852373	1	622
1428	1	611
847	1	601
2003188	1	593
253	1	584
36745	1	583
184914	1	582
1216932	1	579
1561	1	579
901	1	577
1542	1	570
1229621	1	568
1423	1	564
46867	1	563
79880	1	557
2487118	1	539
756892	1	535
1356852	1	525
2321403	1	523
82633	1	519
87883	1	513
712991	1	513
2583377	1	510
1912	1	509
47763	1	508
1520	1	506
459526	1	501
542	1	499
1351	1	493
217203	1	489
2094242	1	488
1909395	1	488
502558	1	487
39152	1	486
1513	1	479
406548	1	479
114	1	478
95486	1	477
1639	1	474
1888	1	472
382	1	471
106590	1	470
29552	1	469
2604421	1	465
2694929	1	464
317	1	460
