Taxonomy	NbGenomes	Reads
1398	1	460
28135	1	459
1534	1	458
2663009	1	456
28448	1	455
1282	1	454
1624	1	452
169679	1	451
1484116	1	451
2320868	1	449
1406	1	448
292	1	448
1484118	1	447
888845	1	443
654	1	443
755731	1	437
1313	1	437
103733	1	435
856	1	435
2014	1	435
33033	1	434
33959	1	434
182773	1	433
210	1	432
1314	1	431
44742	1	424
1830	1	423
2697030	1	421
1686	1	420
28251	1	419
2656914	1	415
1679721	1	413
2596890	1	412
996	1	410
48	1	410
2082193	1	409
135487	1	408
1575	1	407
1838286	1	406
1969	1	401
84032	1	397
2607656	1	394
34	1	393
1311	1	392
29341	1	389
37326	1	388
1391654	1	388
1517	1	385
47671	1	385
1393	1	384
2507160	1	382
1590	1	380
1411621	1	378
960	1	375
2711231	1	374
1680	1	373
69	1	373
2583823	1	372
64104	1	371
197614	1	370
1452	1	370
83656	1	369
2599308	1	367
2528023	1	366
794903	1	365
864828	1	365
337	1	365
394958	1	364
1063	1	364
2494373	1	364
37329	1	362
2598579	1	361
13690	1	361
2576307	1	358
1117645	1	358
1408	1	356
1636152	1	351
2496866	1	350
1505	1	350
2173034	1	350
550	1	347
28198	1	347
1804986	1	346
1648	1	346
103855	1	345
94132	1	343
96344	1	343
223967	1	343
78587	1	342
321983	1	342
573	1	342
713030	1	340
1359	1	340
2202148	1	338
189381	1	337
380021	1	337
1541959	1	335
1304	1	335
528244	1	333
446	1	333
1376	1	332
1884263	1	331
121719	1	331
1421	1	330
1681	1	330
633807	1	328
712411	1	325
1716143	1	324
323450	1	323
2528018	1	322
76123	1	322
661488	1	321
119219	1	321
582	1	320
649831	1	319
1433126	1	319
2068654	1	318
79263	1	318
35	1	318
1297742	1	317
2653857	1	317
1504	1	317
51515	1	317
1178516	1	316
1586287	1	315
128780	1	315
1779382	1	315
1411117	1	315
34105	1	314
2681766	1	314
33970	1	313
729	1	313
43	1	312
179636	1	312
1424294	1	312
29385	1	312
433296	1	310
51669	1	309
1275	1	309
75105	1	307
147802	1	307
93220	1	307
2071627	1	306
1308	1	306
44251	1	306
2502781	1	306
1598	1	306
182710	1	305
641491	1	305
329	1	305
1177574	1	305
871742	1	305
55518	1	303
29391	1	303
408	1	302
169760	1	301
1141883	1	301
1562970	1	300
32002	1	299
414771	1	299
201	1	298
147645	1	297
1531429	1	297
1850093	1	297
67304	1	296
1465	1	296
1613	1	296
1299	1	295
1079	1	295
1498	1	295
1791	1	295
861	1	294
945844	1	294
859	1	293
1488	1	293
2024580	1	293
1841249	1	292
496014	1	290
54006	1	290
1911683	1	289
116090	1	289
712538	1	289
353	1	289
61647	1	288
1806508	1	288
2045	1	288
2602015	1	287
2704462	1	287
1679497	1	287
187327	1	287
298654	1	287
558152	1	286
34085	1	286
1703	1	286
33050	1	286
1302	1	286
158822	1	285
1245	1	285
436515	1	284
49319	1	284
1402861	1	283
1270	1	283
324057	1	283
339	1	283
927083	1	282
392734	1	282
1168034	1	281
146919	1	281
263	1	280
110937	1	280
55508	1	278
2026787	1	277
89152	1	277
2126319	1	277
553814	1	277
1716543	1	276
985762	1	276
1219491	1	276
155892	1	276
443144	1	275
529	1	275
2081703	1	275
2070347	1	274
332101	1	274
237258	1	274
2662397	1	273
75985	1	273
1303	1	273
2015076	1	273
1710	1	272
1707785	1	271
66871	1	271
36809	1	270
1482	1	270
1660	1	269
1404	1	269
1254	1	269
2018025	1	269
54005	1	269
1397	1	268
1482074	1	268
571	1	268
1903704	1	268
53408	1	267
2184053	1	267
2315862	1	267
1166950	1	267
60890	1	266
1761012	1	266
2571746	1	265
1927	1	265
1548	1	265
511	1	265
314722	1	265
470	1	264
980427	1	264
1911684	1	264
2496028	1	264
76853	1	264
393921	1	264
453783	1	264
408015	1	263
94	1	263
1494	1	263
2233999	1	263
1608957	1	261
254	1	261
106592	1	261
1644131	1	261
1915	1	261
1387353	1	261
29382	1	261
2072590	1	260
1914461	1	260
2520506	1	260
1290	1	260
784	1	259
37332	1	259
28450	1	259
39960	1	258
2045208	1	257
79604	1	256
68570	1	256
47466	1	256
2584940	1	256
217204	1	255
45398	1	255
39645	1	255
1855912	1	255
470934	1	255
1462996	1	255
1677857	1	254
255507	1	254
47917	1	254
264636	1	253
380	1	253
437897	1	252
1727164	1	252
2009329	1	252
2674991	1	252
162	1	252
2572036	1	251
2502779	1	251
926	1	250
562959	1	250
2483110	1	250
1847728	1	249
68895	1	249
28110	1	248
61435	1	248
2571749	1	248
2582419	1	248
1583098	1	248
28025	1	247
548	1	247
346	1	247
477641	1	247
443143	1	246
445710	1	246
1905	1	246
1211326	1	246
2663022	1	245
709810	1	245
2583851	1	245
1907	1	245
2706887	1	245
76759	1	244
2602016	1	244
274537	1	244
2292766	1	244
860235	1	244
2282738	1	244
1658665	1	244
2507159	1	243
1852022	1	243
1328	1	243
946333	1	243
463040	1	242
1525	1	242
1509	1	241
57975	1	241
2057025	1	241
1324352	1	241
2584122	1	240
2528009	1	240
571177	1	240
536441	1	240
1736675	1	240
31958	1	240
2377	1	239
2212991	1	238
947919	1	238
2014887	1	238
1725	1	237
879274	1	236
1940610	1	236
2057741	1	236
109328	1	236
173366	1	236
666	1	235
1896961	1	235
1283	1	235
1717717	1	235
250	1	235
2560053	1	235
114527	1	235
582702	1	235
959	1	234
1334193	1	234
1288	1	233
2579971	1	233
1296	1	232
455432	1	232
2220096	1	232
1744	1	232
1852374	1	231
52	1	231
2583243	1	231
2527962	1	230
244566	1	230
588932	1	229
2303331	1	229
2488809	1	229
1126833	1	229
1536774	1	229
1571	1	229
1901	1	228
404589	1	228
270351	1	228
1836	1	228
1823759	1	228
463025	1	228
2507161	1	228
496057	1	228
283686	1	227
652764	1	227
2528035	1	227
1176533	1	226
347	1	226
1616117	1	226
2602070	1	226
1587	1	226
1783515	1	226
96345	1	225
686597	1	225
266	1	225
1355477	1	225
482462	1	225
2713573	1	224
74829	1	224
57704	1	224
157687	1	224
1694	1	224
1405	1	223
2498135	1	223
2074	1	223
1960	1	223
84531	1	223
208439	1	222
312306	1	222
2419771	1	222
1748	1	222
1823	1	222
101571	1	222
2704463	1	221
173	1	221
1379909	1	221
238	1	221
158500	1	221
1470176	1	220
33932	1	220
375	1	220
1108595	1	220
176102	1	220
36874	1	219
889453	1	219
1257021	1	218
538381	1	218
29466	1	218
2675754	1	217
2497860	1	217
584	1	217
2548456	1	217
281093	1	216
738	1	216
37482	1	216
347534	1	216
652	1	215
1867715	1	215
672	1	215
285	1	215
1400053	1	215
795665	1	215
862126	1	215
60552	1	214
2697032	1	214
1511	1	214
2055	1	214
47885	1	214
1889813	1	214
564064	1	213
2692425	1	213
111015	1	212
61652	1	212
2061	1	212
1870820	1	212
36818	1	212
174633	1	212
1255	1	211
645	1	211
39950	1	211
80869	1	211
104087	1	211
1930071	1	211
682998	1	211
1077935	1	211
1664069	1	210
2054	1	210
158836	1	210
1834205	1	210
561879	1	210
1653480	1	210
1851544	1	209
109790	1	209
35623	1	209
1493872	1	209
1905847	1	208
2269374	1	208
1702325	1	208
400770	1	208
1539298	1	208
1871025	1	208
2567934	1	208
426117	1	207
2582905	1	207
748247	1	207
1176587	1	207
2488560	1	207
2652443	1	206
76731	1	206
82541	1	206
2010972	1	205
192812	1	205
488447	1	205
1519	1	204
2718	1	204
2594003	1	204
41899	1	204
134601	1	204
123899	1	204
68270	1	204
342113	1	203
1842727	1	203
2508882	1	203
2419841	1	202
2209	1	202
39778	1	202
2583452	1	202
1191459	1	202
2686304	1	202
2528010	1	202
2027860	1	202
83655	1	201
1401	1	201
1426	1	201
298653	1	201
492670	1	201
1416806	1	200
946334	1	200
73044	1	200
