Taxonomy	NbGenomes	Reads
821	1	4203054
853	1	633163
818	1	478099
47678	1	474680
820	1	388871
28116	1	334328
817	1	273002
357276	1	248530
823	1	191643
371601	1	166727
28118	1	161698
145261	1	153538
2109688	1	152878
589873	1	118388
2364787	1	113803
2528203	1	104898
28132	1	101540
2109691	1	101431
2585118	1	98227
28131	1	96749
1796613	1	88721
28135	1	68515
2093856	1	63336
246787	1	62362
28129	1	59926
2585119	1	53060
2494234	1	51945
329854	1	51151
1177574	1	46499
244366	1	43371
1550024	1	42612
301301	1	40687
28113	1	36538
292800	1	33842
95486	1	33147
74426	1	33022
1681	1	32361
28119	1	29481
2093857	1	28266
2584944	1	25195
76123	1	24434
1160721	1	24411
2606626	1	22012
562	1	20502
1639133	1	20474
2479767	1	19945
239935	1	19729
1680	1	19077
901	1	18807
39488	1	18786
2025876	1	18682
2109687	1	17806
10847	1	16054
216816	1	15263
837	1	14236
2133944	1	11975
2662363	1	11621
2576606	1	10835
2610895	1	10699
33038	1	10497
208479	1	9322
2109690	1	9319
1496	1	9077
1796646	1	8276
1686	1	7948
649756	1	7875
712710	1	7683
573	1	7033
79329	1	6924
1642647	1	6690
1642646	1	6297
2086584	1	5845
2584943	1	5576
33035	1	4860
36874	1	4720
729	1	4685
1871021	1	4562
661488	1	4207
1400053	1	3922
1685	1	3864
29347	1	3799
2093742	1	3745
303	1	3576
253	1	3339
1834196	1	3319
2706887	1	3299
84030	1	3187
1017	1	3176
1168034	1	3093
1562970	1	3069
1297617	1	3035
393921	1	3016
512763	1	2957
400092	1	2941
40324	1	2941
1491	1	2860
2604421	1	2827
85698	1	2772
626937	1	2739
316	1	2714
1912897	1	2623
2703787	1	2597
1433126	1	2593
294	1	2549
743722	1	2540
1117645	1	2514
1834207	1	2503
45243	1	2501
28251	1	2483
2315862	1	2465
185007	1	2422
1834198	1	2407
550	1	2369
1191459	1	2336
2520506	1	2325
56	1	2319
28901	1	2276
2341117	1	2239
2086585	1	2231
2305508	1	2230
358	1	2226
430522	1	2174
34073	1	2144
2704465	1	2109
2578106	1	2108
2713573	1	2087
2057025	1	2084
536441	1	2034
2696063	1	2026
1493872	1	2019
477680	1	2009
584	1	2009
384	1	1995
587753	1	1991
1736	1	1991
2268026	1	1978
1076	1	1972
1042156	1	1969
84112	1	1968
496057	1	1960
238	1	1926
847	1	1906
1550579	1	1876
2681766	1	1872
1796616	1	1839
250	1	1839
363852	1	1834
1411621	1	1833
188932	1	1825
192	1	1821
2027860	1	1814
54571	1	1807
1484118	1	1795
34085	1	1761
797291	1	1747
1265445	1	1740
542	1	1729
889453	1	1720
996	1	1711
2557994	1	1694
259	1	1693
1019	1	1689
305	1	1685
1352	1	1676
1727164	1	1666
907	1	1660
2201271	1	1653
87883	1	1639
1257021	1	1629
1406	1	1626
254	1	1608
446	1	1605
661481	1	1599
2175091	1	1598
459526	1	1595
986	1	1591
2183896	1	1588
287	1	1587
1306519	1	1573
1124835	1	1559
1211326	1	1553
2489595	1	1549
2029983	1	1530
83771	1	1511
2502779	1	1498
1834519	1	1489
2694929	1	1488
253239	1	1486
388950	1	1481
1010	1	1476
1526658	1	1468
185008	1	1467
1385664	1	1450
1492	1	1450
371142	1	1445
1617283	1	1445
53442	1	1441
2041044	1	1432
561061	1	1413
210	1	1410
511	1	1407
323450	1	1393
1717717	1	1381
1379909	1	1372
38293	1	1371
217203	1	1361
1176587	1	1347
644	1	1346
1850093	1	1332
2259595	1	1332
2607656	1	1326
2564099	1	1326
158822	1	1314
1396	1	1310
651561	1	1307
82633	1	1300
582	1	1299
1393	1	1293
654	1	1286
2321403	1	1283
29549	1	1283
300	1	1279
398053	1	1278
1986952	1	1266
2676868	1	1257
1850526	1	1250
28095	1	1249
1538644	1	1247
1126833	1	1246
2494373	1	1236
28188	1	1234
1316596	1	1234
2502781	1	1229
1229621	1	1228
380021	1	1217
511435	1	1213
851	1	1212
862126	1	1204
496056	1	1197
1813871	1	1184
39778	1	1183
1379910	1	1181
1356852	1	1175
2027857	1	1173
1729720	1	1172
959	1	1168
1747	1	1166
184914	1	1163
1178516	1	1148
2496028	1	1147
28025	1	1145
2545455	1	1142
2172098	1	1137
670	1	1132
1679444	1	1126
1834205	1	1125
84110	1	1122
2294119	1	1115
2584940	1	1111
756892	1	1107
548	1	1100
119219	1	1100
1868325	1	1095
317	1	1087
106592	1	1084
247	1	1081
2583851	1	1076
2507162	1	1073
1398	1	1072
1391654	1	1070
2584122	1	1070
179636	1	1064
382	1	1058
103855	1	1057
712411	1	1044
442	1	1043
1484116	1	1042
1678728	1	1034
1307	1	1030
197	1	1025
112234	1	1022
41977	1	1021
2069432	1	1020
615	1	1018
2015076	1	1017
2518177	1	1015
1335613	1	1015
93220	1	1014
2694930	1	1014
564064	1	1014
2003121	1	1010
492670	1	1009
339	1	1004
2126553	1	1002
94132	1	1001
2576891	1	1000
121719	1	998
2109692	1	994
1644130	1	986
1385663	1	985
55508	1	984
2698458	1	982
649196	1	982
630	1	978
2602769	1	974
946333	1	972
1469502	1	966
1761453	1	963
189426	1	959
2583377	1	958
1234841	1	957
1933220	1	955
2144175	1	955
1324352	1	936
36745	1	936
2319843	1	935
2487118	1	934
2094242	1	931
2496866	1	930
2686365	1	930
2591634	1	929
2605747	1	926
1179672	1	925
114	1	923
2488560	1	919
1870820	1	913
1358	1	913
470934	1	910
313603	1	909
1420917	1	905
314275	1	905
160799	1	905
1331910	1	900
1502	1	897
1166950	1	895
83655	1	891
1450761	1	887
1408	1	886
44742	1	885
1838286	1	880
794903	1	879
2058134	1	873
980427	1	873
1683	1	873
2026785	1	872
748247	1	871
190893	1	870
