TaxonomyInput	nb_genomes	Reads
589873	1	63425
573	1	40147
145261	1	32069
28132	1	9578
1177574	1	7402
95486	1	7006
244366	1	6931
39778	1	4146
39777	1	3070
821	1	3021
1304	1	2976
28116	1	2742
729	1	2033
562	1	1546
43675	1	1453
10847	1	1415
29466	1	986
199	1	903
28131	1	835
2610896	1	633
28037	1	614
735	1	600
712633	1	565
550	1	471
371601	1	469
357276	1	351
1660	1	312
542	1	275
1303	1	267
114527	1	263
853	1	259
488	1	237
1313	1	234
546	1	226
726	1	220
28135	1	220
28129	1	219
1526658	1	217
1433513	1	205
