Taxonomy	NbGenomes	Reads
47770	1	645231
145261	1	33481
244366	1	9698
2047	1	6687
589873	1	3662
544580	1	3180
1655	1	2838
43768	1	2697
1596	1	2601
29466	1	1838
1303	1	1461
1587	1	1402
1633	1	1281
1305	1	1144
1656	1	775
1604	1	632
2107999	1	417
52242	1	413
1302	1	400
729	1	399
172042	1	380
573	1	342
1579	1	291
33959	1	240
10847	1	213
1747	1	210
