accession	reads
GCF_008728395.1	6295601
GCF_032451715.1	999650
GCF_018289315.1	428093
GCF_018289135.1	383329
GCF_000723465.1	278031
GCF_008369705.1	193339
GCF_902388275.1	184509
GCF_020091485.1	180161
GCF_013009555.1	173355
GCF_024760065.1	166328
GCF_016889065.1	165364
GCF_016117815.1	134306
GCF_963360645.1	105101
GCF_023347235.1	104751
GCF_018408575.1	98092
GCF_022845675.1	96163
GCF_019249725.2	93856
GCF_021484885.1	71399
GCF_005121165.3	69477
GCF_022846055.1	59072
GCF_024759225.1	53749
GCF_023347275.1	47817
GCF_004104465.2	46764
GCF_023347355.1	44663
GCF_003574015.1	44422
GCF_023347295.1	43840
GCF_020735565.1	43287
GCF_025147905.1	43106
GCF_003991565.1	42270
GCF_020735905.1	41883
GCF_036815185.2	37843
GCF_002763715.1	37614
GCF_025151715.1	35336
GCF_018128205.1	32463
GCF_003609995.1	32047
GCF_023008285.1	32032
GCF_022453685.1	31538
GCF_023347255.1	30851
GCF_900187175.1	30173
GCF_023347535.1	29561
GCF_020735725.1	28833
GCF_022024195.1	28469
GCF_002734145.1	27358
GCF_019551475.1	26603
GCF_025914115.1	25923
GCF_004328515.1	25288
GCF_018389405.1	25117
GCF_022024075.1	24533
GCF_022024035.1	23362
GCF_006542665.1	23334
GCF_003856815.1	21900
GCF_022024015.1	21385
GCF_928852565.1	21221
GCF_023204875.1	21085
GCF_020735745.1	19620
GCF_900683755.1	19555
GCF_028743455.1	18987
GCF_014337155.1	18927
GCF_004803695.1	18018
GCF_900637655.1	17590
GCF_002849795.1	16977
GCF_020735865.1	16971
GCF_018289295.1	16919
GCF_022845635.1	16450
GCF_018127805.1	16439
GCF_004154955.1	16332
GCF_014337175.1	16221
GCF_022024055.1	15827
GCF_028743775.1	15785
GCF_018127985.1	15380
GCF_009676955.1	15329
GCF_018326305.1	15127
GCF_030219305.1	14908
GCF_032452855.1	14690
GCF_014334015.1	14204
GCF_023008305.1	13695
GCF_023921805.1	13456
GCF_025914175.1	13202
GCF_023347315.1	13009
GCF_006337085.1	12843
GCF_001444445.1	12682
GCF_025914295.1	12564
GCF_022453915.1	12406
GCF_023347335.1	12159
GCF_017347605.1	11796
GCF_025150745.1	11539
GCF_033096525.1	11476
GCF_033096465.1	11395
GCF_034270385.1	10535
GCF_025152575.1	10066
GCF_000209835.1	9901
GCF_018127765.1	9900
GCF_018408705.1	9789
GCF_014334055.1	9669
GCF_001465445.1	9626
GCF_018140635.1	9264
GCF_000001405.40	9053
GCF_027942055.1	8798
GCF_963931595.1	8754
GCF_900604385.1	8569
GCF_003265305.2	8364
GCF_018127845.1	8298
GCF_963931395.1	8160
GCF_020341675.1	8005
GCF_006542685.1	8002
GCF_002201515.1	7994
GCF_020736365.1	7978
GCF_963677685.1	7876
GCF_024758225.1	7870
GCF_020091345.1	7831
GCF_928721995.1	7499
GCF_032878895.1	7396
GCF_030759015.1	7066
GCF_023008345.1	6975
