accession	reads
GCF_020091405.1	6974
GCF_016888945.1	6851
GCF_008727735.1	6843
GCF_016904155.1	6703
GCF_018128125.1	6494
GCF_032163395.1	6361
GCF_002998435.1	6271
GCF_025149915.1	6071
GCF_900095795.1	6027
GCF_009193325.2	5974
GCF_032878955.1	5912
GCF_902381755.1	5903
GCF_020735365.1	5730
GCF_004319565.1	5649
GCF_016697125.1	5612
GCF_004803915.1	5507
GCF_033539415.1	5271
GCF_027923645.1	4849
GCF_025150245.1	4843
GCF_002234575.2	4802
GCF_022220465.1	4768
GCF_016724805.1	4690
GCF_001721905.1	4685
GCF_012113595.1	4607
GCF_036416795.1	4242
GCF_002998535.1	4147
GCF_020138415.1	3792
GCF_002257605.1	3636
GCF_020550085.1	3549
GCF_034051595.1	3388
GCF_000210695.1	3366
GCF_005848555.1	3276
GCF_020181455.1	3232
GCF_025142675.1	3194
GCF_009867035.2	3057
GCF_009193295.2	3031
GCF_902381825.1	3027
GCF_023744375.2	3009
GCF_015679285.1	2966
GCF_014287515.2	2937
GCF_003033925.1	2915
GCF_900312975.1	2897
GCF_023822465.1	2849
GCF_022354665.1	2830
GCF_025148445.1	2805
GCF_014163495.1	2788
GCF_025149285.1	2753
GCF_013874375.1	2684
GCF_018127745.1	2598
GCF_020091425.1	2530
GCF_037992955.1	2503
GCF_002346005.1	2452
GCF_033947525.1	2424
GCF_029581355.1	2378
GCF_928721695.1	2341
GCF_005601135.1	2175
GCF_009557455.1	2011
GCF_963360665.1	2006
GCF_001940165.2	1967
GCF_018118585.1	1953
GCF_022845735.1	1944
GCF_033193315.1	1927
GCF_027116415.1	1922
GCF_024722395.1	1920
GCF_035609205.1	1854
GCF_012273195.1	1853
GCF_902381675.1	1852
GCF_030296935.1	1843
GCF_018128945.1	1833
GCF_015140235.1	1828
GCF_030296955.1	1776
GCF_004115325.2	1752
GCF_022174665.1	1744
GCF_000210595.1	1731
GCF_900120345.1	1722
GCF_027943965.1	1662
GCF_014337215.1	1653
GCF_000270305.1	1649
GCF_963666085.1	1640
GCF_032769475.1	1606
GCF_003060825.1	1603
GCF_020892095.1	1582
GCF_003020185.1	1564
GCF_963677565.1	1538
GCF_003287895.1	1532
GCF_000783815.2	1503
GCF_900015215.1	1441
GCF_029919115.1	1432
GCF_014337195.1	1425
GCF_014844015.1	1371
GCF_015097455.1	1351
GCF_015159595.1	1330
GCF_013137895.1	1313
GCF_003175155.1	1297
GCF_001940225.2	1274
GCF_003628755.1	1274
GCF_900095135.1	1263
GCF_963931295.1	1188
GCF_963677905.1	1177
GCF_016406145.1	1155
GCF_016600925.1	1149
GCF_007164725.1	1127
GCF_022845775.1	1125
GCF_019355395.1	1116
GCF_022845755.1	1115
GCF_900476255.1	1101
GCF_002201475.1	1058
GCF_963667355.1	1044
GCF_900604345.1	1013
GCF_034355335.1	982
GCF_022845615.1	964
GCF_037039345.1	958
GCF_029590315.1	951
GCF_018866245.1	943
GCF_005222505.1	930
GCF_963664505.1	914
GCF_004135895.1	909
GCF_038396755.1	905
GCF_035986805.1	899
GCF_029211325.2	897
GCF_002441855.2	889
GCF_024759285.1	889
GCF_030847745.1	881
GCF_016696745.1	871
GCF_026278345.1	869
GCF_014131715.1	856
GCF_014883935.1	839
GCF_963921705.1	838
GCF_900638305.1	829
GCF_023008365.1	829
GCF_020215665.1	826
GCF_018406465.1	796
GCF_023361095.1	790
GCF_963556055.2	765
GCF_022811645.1	763
GCF_009913235.1	755
GCF_025147085.1	741
GCF_001634325.1	735
GCF_003030905.1	728
GCF_900250055.1	715
GCF_036320655.1	712
GCF_013393365.1	707
GCF_001703595.1	706
GCF_022267555.1	702
GCF_020911725.1	699
GCF_016887735.2	689
GCF_024205685.1	683
GCF_005696695.1	681
GCF_036287215.1	671
GCF_001717505.1	670
GCF_900637555.1	664
GCF_002302415.1	663
GCF_020097375.1	658
GCF_027941855.1	655
GCF_016599855.1	649
GCF_003029985.1	647
GCF_012931585.1	642
GCF_016906045.1	625
GCF_027594765.1	613
GCF_014303955.1	611
GCF_002966695.1	608
GCF_039134705.1	608
GCF_020386615.1	603
GCF_036511535.1	603
GCF_900343095.1	603
GCF_003367905.1	596
GCF_026015965.1	594
GCF_010320145.1	591
GCF_021378605.1	587
GCF_963692685.1	582
GCF_019931045.1	581
GCF_001443605.1	573
GCF_009429085.1	567
GCF_014467055.1	565
GCF_963667135.1	564
GCF_013357625.1	559
GCF_024499075.1	558
GCF_001548235.1	557
GCF_030644385.1	552
GCF_008935055.1	548
GCF_003666425.1	545
GCF_026625565.1	538
GCF_033060595.1	530
GCF_026057735.1	525
GCF_023497905.1	525
GCF_038983115.1	525
GCF_024758805.1	522
GCF_016126935.1	522
GCF_002209445.1	509
GCF_022921095.1	507
GCF_029026905.1	503
GCF_011801285.1	500
GCF_000954135.1	493
GCF_018732185.1	493
GCF_036492835.1	491
GCF_010092985.1	486
GCF_018406505.1	485
GCF_021537535.1	485
GCF_009936295.1	485
GCF_021222645.1	484
GCF_026723765.1	483
GCF_019552345.1	482
GCF_000067205.1	477
GCF_001611675.1	474
GCF_020923495.1	474
GCF_030863805.1	474
GCF_026248825.1	473
GCF_030408395.1	471
GCF_022404755.1	464
GCF_008253725.1	463
GCF_901827165.1	462
GCF_022846135.1	462
GCF_023674465.1	460
GCF_001865535.1	458
GCF_000021765.1	458
GCF_002005185.1	455
GCF_002302565.1	455
GCF_000973725.1	452
GCF_901482695.1	450
GCF_013315815.1	445
GCF_016696765.1	444
GCF_009689585.1	444
GCF_000826965.5	440
GCF_009931655.1	439
GCF_022919215.1	439
GCF_002078375.4	437
GCF_963931375.1	436
GCF_963667225.1	436
GCF_007741535.1	436
GCF_025151995.1	435
GCF_036231985.1	434
GCF_011305995.1	431
GCF_004135735.1	430
GCF_001890425.1	429
GCF_008033235.1	428
GCF_009685195.1	428
GCF_003006415.1	428
GCF_026278245.1	427
GCF_005491705.1	427
GCF_001643775.1	424
GCF_004006395.2	422
GCF_015353075.1	415
GCF_020463795.1	412
GCF_022807995.1	412
GCF_023195795.1	405
GCF_036091755.1	404
GCF_017915135.1	400
GCF_025859615.1	397
GCF_005491205.1	397
GCF_010231335.1	397
GCF_001078055.1	394
GCF_016027135.1	391
GCF_013347265.1	389
GCF_002998925.1	389
GCF_030704305.1	388
GCF_020882585.1	387
GCF_002201795.1	386
GCF_026278265.1	386
GCF_963676855.1	385
GCF_033096405.1	384
GCF_900564155.1	383
GCF_002831565.1	382
GCF_007971025.1	380
GCF_029590275.1	378
GCF_026314295.1	376
GCF_002302595.1	374
GCF_003194085.1	372
GCF_013154915.1	371
GCF_004103735.1	371
GCF_024498295.1	371
GCF_001761325.1	369
GCF_900143685.1	367
GCF_004766125.1	366
GCF_025244985.1	364
GCF_014235165.1	364
GCF_963662885.1	361
GCF_900683775.1	360
GCF_002157895.1	360
GCF_027941915.1	358
GCF_020181435.1	358
GCF_000009985.1	358
GCF_000470975.2	356
GCF_011299555.1	355
GCF_025639805.1	353
GCF_017753665.1	352
GCF_010537335.1	352
GCF_024925425.1	352
GCF_030644365.1	352
GCF_963677645.1	351
GCF_002157145.1	349
GCF_009906935.1	346
GCF_002763695.1	344
GCF_011405655.1	344
GCF_036346835.1	340
GCF_005280655.1	338
GCF_900637575.1	338
GCF_951793255.1	337
GCF_900199375.1	337
GCF_027111275.1	337
GCF_001641285.1	336
GCF_022811725.1	335
GCF_038396405.1	335
GCF_018336475.1	331
GCF_017569365.1	330
GCF_011038705.2	330
GCF_029025785.1	330
GCF_032395985.1	329
GCF_002874775.1	329
GCF_001280305.1	327
GCF_002859225.1	327
GCF_034424315.1	326
GCF_021049305.1	324
GCF_000722765.2	323
GCF_035917875.1	322
GCF_018228625.1	320
GCF_016549395.1	319
GCF_001808185.1	319
GCF_010233585.1	318
GCF_900128725.1	316
GCF_006496635.1	315
GCF_024652905.1	313
GCF_026230175.1	313
GCF_002116905.1	312
GCF_029855045.1	312
GCF_963666255.1	309
GCF_019334745.1	309
GCF_034424625.1	308
GCF_007725005.1	308
GCF_002067135.1	308
GCF_009676865.1	306
GCF_000963865.1	305
GCF_003096035.1	305
GCF_019645875.1	305
GCF_028622815.1	304
GCF_000015185.1	304
GCF_013265555.1	304
GCF_020736205.1	303
GCF_002257585.1	303
GCF_018847975.1	303
GCF_016117655.1	303
GCF_027557445.1	303
GCF_011068285.1	302
GCF_001660485.1	302
GCF_024741815.1	302
GCF_001623525.1	301
GCF_003325355.1	301
GCF_021513235.1	299
GCF_036972535.1	299
GCF_006384225.1	299
GCF_038269515.1	298
GCF_900477945.1	298
GCF_001858005.1	297
GCF_014931035.1	297
GCF_900106075.1	296
GCF_003390995.1	296
GCF_030506325.1	296
GCF_014217645.1	295
GCF_016924835.1	294
GCF_001577265.1	294
GCF_007923045.3	294
GCF_012849055.1	292
GCF_001971605.1	292
GCF_963677005.1	292
GCF_025947345.1	291
GCF_003173735.1	290
GCF_000742795.1	290
GCF_014169355.1	289
GCF_013267535.1	289
GCF_003008575.1	289
GCF_011612265.2	289
GCF_900101765.1	288
GCF_963931665.1	288
GCF_963556035.2	287
GCF_012516375.2	287
GCF_036492245.1	286
GCF_009026825.1	286
GCF_016858125.1	285
GCF_008728835.1	285
GCF_018316915.2	285
GCF_037018265.1	284
GCF_000758685.1	283
GCF_029542085.1	283
GCF_022682305.1	283
GCF_009931695.1	282
GCF_003149515.1	280
GCF_001298465.1	279
GCF_027111095.2	277
GCF_004104415.1	276
GCF_019048385.1	276
GCF_030388745.1	275
GCF_025947185.1	275
GCF_025141855.1	273
GCF_016725925.1	273
GCF_002094955.1	271
GCF_020310005.1	271
GCF_005145005.1	271
GCF_900637515.1	271
GCF_001022135.1	271
GCF_034376865.1	270
GCF_029223545.1	270
GCF_900475375.1	269
GCF_001402915.1	269
GCF_001590605.1	269
GCF_943733665.1	269
GCF_000954115.1	268
GCF_028993635.1	268
GCF_029339075.1	268
GCF_000424065.1	268
GCF_030008055.1	268
GCF_025148785.1	267
GCF_002302475.1	267
GCF_001477625.1	267
GCF_907163105.1	266
GCF_017792385.1	266
GCF_001718915.1	266
GCF_902381775.1	266
GCF_014218335.1	266
GCF_024400375.1	264
GCF_900519125.1	264
GCF_000209655.1	263
GCF_038396765.1	263
GCF_027945475.1	263
GCF_003111765.1	263
GCF_963666695.1	262
GCF_900475505.1	262
GCF_001989575.1	262
GCF_001558895.2	262
GCF_001921945.1	261
GCF_002845845.1	260
GCF_003945325.1	260
GCF_003585765.1	260
GCF_030064365.1	259
GCF_004801255.1	259
GCF_003667705.1	259
GCF_963664915.1	258
GCF_014334135.1	257
GCF_026020075.1	257
GCF_021165935.1	257
GCF_019890935.1	256
GCF_001701045.1	256
GCF_032163505.1	255
GCF_020150815.1	254
GCF_946902905.1	254
GCF_016132525.1	254
GCF_020080045.1	253
GCF_011305775.1	253
GCF_025244865.1	253
GCF_003589925.1	252
GCF_030062155.1	252
GCF_001483865.1	252
GCF_036323495.1	251
GCF_004355225.1	251
GCF_032930845.1	251
GCF_038725785.1	251
GCF_016584445.1	250
GCF_038593055.1	249
GCF_026013705.1	249
GCF_025947045.1	249
GCF_022867795.2	249
GCF_025149625.1	249
GCF_000953015.1	249
GCF_017639085.1	248
GCF_001713475.1	248
GCF_016446305.1	248
GCF_000833025.1	247
GCF_963931535.1	247
GCF_037911825.1	247
GCF_016894445.1	245
GCF_900637175.1	245
GCF_030644225.1	245
GCF_013874595.1	245
GCF_023272795.1	245
GCF_020510565.1	244
GCF_023573145.1	243
GCF_022827545.1	242
GCF_024610635.1	242
GCF_011299335.1	242
GCF_015291705.1	242
GCF_013375035.1	240
GCF_004103695.1	239
GCF_009762795.1	239
GCF_022869785.1	239
GCF_014268885.2	238
GCF_030534335.1	238
GCF_900119915.1	238
GCF_000953555.1	237
GCF_023702755.1	236
GCF_029689925.1	236
GCF_010729895.1	236
GCF_021432025.1	235
GCF_009762775.1	235
GCF_011305535.1	235
GCF_016446285.1	235
GCF_030908625.1	235
GCF_009586235.1	234
GCF_033405435.1	234
GCF_030013905.1	233
GCF_016592015.1	233
GCF_024181625.1	233
GCF_009670965.2	233
GCF_019195435.1	232
GCF_004355185.1	232
GCF_018966805.1	232
GCF_030064165.1	231
GCF_003966955.1	231
GCF_020181515.1	231
GCF_002250075.1	231
GCF_013393385.1	231
GCF_023896015.1	231
GCF_035621135.1	231
GCF_025836975.1	230
GCF_033100115.1	230
GCF_024138855.1	229
GCF_004103755.1	229
GCF_014218355.1	228
GCF_023016285.1	228
GCF_017968825.1	227
GCF_038595055.1	226
GCF_021545845.1	226
GCF_002356275.1	226
GCF_038087665.1	225
GCF_001889485.1	225
GCF_014854595.1	225
GCF_003952345.1	224
GCF_000241955.1	224
GCF_002007825.1	224
GCF_029854435.1	224
GCF_016591975.1	224
GCF_900105125.1	223
GCF_027474965.1	223
GCF_008274625.1	223
GCF_003173715.1	222
GCF_009036245.1	221
GCF_903969135.1	221
GCF_016812035.1	221
GCF_002197445.1	221
GCF_016066915.1	220
GCF_001718975.1	220
GCF_900104535.1	220
GCF_004193915.1	219
GCF_038368255.1	219
GCF_032762665.1	219
GCF_025244685.1	219
GCF_025725685.1	218
GCF_963677195.1	217
GCF_006351905.1	217
GCF_001941825.1	217
GCF_900089455.2	217
GCF_900066015.1	217
GCF_963677305.1	217
GCF_020783315.1	217
GCF_032926325.1	216
GCF_900104945.1	216
GCF_026810445.1	215
GCF_030389005.1	215
GCF_001029105.3	215
GCF_018137945.1	214
GCF_001554015.1	213
GCF_000577895.1	213
GCF_031326225.1	213
GCF_027625455.1	213
GCF_003589745.1	213
GCF_017795745.1	213
GCF_021052305.1	212
GCF_001562275.1	212
GCF_027359925.1	211
GCF_030123025.1	211
GCF_008000815.1	211
GCF_902386745.1	211
GCF_024496085.1	210
GCF_900682675.2	210
GCF_016134045.1	210
GCF_027111315.2	210
GCF_019916025.1	210
GCF_037076525.1	210
GCF_001761465.1	210
GCF_033814055.1	209
GCF_001543345.1	209
GCF_029714405.1	209
GCF_003971235.1	209
GCF_001262075.1	209
GCF_001605965.1	209
GCF_021609985.1	209
GCF_003441595.1	209
GCF_017638545.1	209
GCF_022701175.1	208
GCF_000270285.1	207
GCF_000758645.1	207
GCF_900105025.1	207
GCF_963931465.1	206
GCF_013427035.1	206
GCF_023547405.1	206
GCF_000814825.1	206
GCF_013267735.1	204
GCF_000364165.2	204
GCF_024181205.1	204
GCF_011044175.1	203
GCF_028596105.1	203
GCF_002077135.1	203
GCF_029542585.1	203
GCF_001687545.1	202
GCF_001676745.1	201
GCF_026898155.1	201
GCF_026684175.1	201
GCF_003574965.1	201
GCF_001913155.1	201
GCF_014217805.1	200
