accession	reads
GCF_016117815.1	1326053
GCF_032452855.1	1270159
GCF_020091405.1	1205909
GCF_008728395.1	752574
GCF_004319565.1	489563
GCF_032451715.1	266652
GCF_024760065.1	204548
GCF_027923645.1	180807
GCF_009867035.2	176334
GCF_018289315.1	157297
GCF_018289135.1	145399
GCF_902388275.1	142905
GCF_963360645.1	138631
GCF_024759225.1	134157
GCF_022845635.1	98153
GCF_005121165.3	94997
GCF_006542665.1	94125
GCF_018408575.1	91227
GCF_028743455.1	87949
GCF_002874775.1	83774
GCF_020735365.1	80696
GCF_963931595.1	80598
GCF_003030905.1	75583
GCF_018326305.1	75022
GCF_025152575.1	68130
GCF_000210695.1	67900
GCF_900683755.1	61902
GCF_003574015.1	51353
GCF_020550085.1	50632
GCF_014337175.1	48913
GCF_018140635.1	44757
GCF_004154955.1	42088
GCF_000209835.1	39262
GCF_022453685.1	39061
GCF_025147905.1	37540
GCF_023008345.1	36878
GCF_023008285.1	36473
GCF_003856815.1	35460
GCF_004328515.1	34559
GCF_001553605.1	34396
GCF_015679285.1	30568
GCF_000723465.1	29619
GCF_023008305.1	29346
GCF_008369705.1	28982
GCF_022845675.1	27692
GCF_033096525.1	26813
GCF_002734145.1	25140
GCF_025151715.1	25071
GCF_013874375.1	23422
GCF_013009555.1	23324
GCF_005848555.1	22738
GCF_900187175.1	21326
GCF_023347255.1	20541
GCF_016904155.1	20490
GCF_036416795.1	20238
GCF_002845845.1	20127
GCF_014334055.1	19382
GCF_020735725.1	19179
GCF_023347275.1	18660
GCF_025914295.1	18153
GCF_020091425.1	17745
GCF_034270385.1	16600
GCF_020736365.1	16489
GCF_021484885.1	16334
GCF_023347235.1	16014
GCF_023347335.1	15464
GCF_022846055.1	15112
GCF_018408705.1	14762
GCF_023347535.1	14316
GCF_012113595.1	14261
GCF_023347295.1	13788
GCF_020091345.1	13118
GCF_025914115.1	13025
GCF_022453915.1	12892
GCF_023347355.1	12798
GCF_020735745.1	12781
GCF_020341675.1	12286
GCF_002234575.2	11811
GCF_025150245.1	11104
GCF_019249725.2	10297
GCF_014337155.1	10084
GCF_033096465.1	9633
GCF_020181455.1	9478
GCF_032878895.1	9229
GCF_034051595.1	8503
GCF_033539415.1	8281
GCF_023347315.1	7494
GCF_029581355.1	7207
GCF_025149285.1	7019
GCF_008727735.1	6994
GCF_021378605.1	6983
GCF_036815185.2	6596
GCF_928852565.1	6470
GCF_963931395.1	5992
GCF_025150745.1	5765
GCF_902381825.1	5512
GCF_011405655.1	5428
GCF_025147085.1	5253
GCF_020091485.1	5027
GCF_020735865.1	4926
GCF_014163495.1	4903
GCF_025914175.1	4894
GCF_020138415.1	4626
GCF_022845735.1	4563
GCF_016697125.1	4442
GCF_015097455.1	4398
GCF_024758225.1	4393
GCF_018289295.1	4378
GCF_033947525.1	4358
GCF_024759285.1	4352
GCF_000001405.40	4000
GCF_026016425.1	3966
GCF_014334015.1	3901
GCF_016888945.1	3862
GCF_009193295.2	3829
GCF_016600925.1	3450
GCF_032769475.1	3368
GCF_900312975.1	3244
GCF_902381675.1	3177
GCF_001721905.1	2970
GCF_014337195.1	2963
GCF_014337215.1	2835
GCF_025148445.1	2803
GCF_900604345.1	2661
GCF_963360665.1	2628
GCF_020892095.1	2516
GCF_004115325.2	2506
GCF_033193315.1	2492
GCF_016887735.2	2385
GCF_012273195.1	2359
GCF_016889065.1	2330
GCF_023921805.1	2292
GCF_016696745.1	2264
GCF_002201475.1	2207
GCF_011801285.1	2175
GCF_014287515.2	2109
GCF_009193325.2	2105
GCF_902381755.1	2103
GCF_018118585.1	2102
GCF_029211325.2	2095
GCF_900604385.1	2082
GCF_006542685.1	2066
GCF_000270305.1	2003
GCF_016027135.1	1994
GCF_015140235.1	1976
GCF_018128945.1	1882
GCF_003628755.1	1881
GCF_900120345.1	1853
GCF_018223625.1	1786
GCF_025149915.1	1770
GCF_005222505.1	1759
GCF_000210595.1	1716
GCF_001940165.2	1688
GCF_001940225.2	1619
GCF_002441855.2	1553
GCF_000783815.2	1519
GCF_963677685.1	1500
GCF_928721695.1	1494
GCF_025148785.1	1438
GCF_036287215.1	1435
