accession	reads
GCF_032878955.1	1421
GCF_022174665.1	1420
GCF_002998535.1	1366
GCF_002257605.1	1292
GCF_002849795.1	1260
GCF_023008365.1	1251
GCF_022494435.1	1182
GCF_003287895.1	1182
GCF_022845755.1	1150
GCF_009557455.1	1136
GCF_004103735.1	1124
GCF_001921945.1	1115
GCF_029854705.2	1114
GCF_018866245.1	1088
GCF_002998435.1	1074
GCF_025908335.1	1074
GCF_025213355.1	1018
GCF_014467055.1	1017
GCF_027942055.1	1016
GCF_022220465.1	1012
GCF_009429085.1	986
GCF_003175155.1	972
GCF_020215665.1	918
GCF_007164725.1	901
GCF_005601135.1	892
GCF_019355395.1	859
GCF_014303955.1	854
GCF_035986805.1	798
GCF_013315815.1	797
GCF_961514395.1	779
GCF_024498295.1	768
GCF_020911725.1	754
GCF_030644385.1	750
GCF_017357045.1	745
GCF_900683775.1	737
GCF_024181625.1	735
GCF_022404755.1	726
GCF_026684175.1	716
GCF_039134705.1	714
GCF_900199375.1	709
GCF_014131715.1	700
GCF_020099295.1	690
GCF_015159595.1	675
GCF_900143685.1	667
GCF_002763715.1	665
GCF_018406465.1	639
GCF_003367905.1	630
GCF_022845715.1	620
GCF_029590315.1	608
GCF_034355335.1	602
GCF_010231335.1	600
GCF_028622815.1	598
GCF_900119915.1	581
GCF_900010805.1	571
GCF_004135895.1	569
GCF_016406145.1	566
GCF_037039345.1	560
GCF_030389005.1	555
GCF_016906045.1	550
GCF_963664915.1	549
GCF_001701045.1	545
GCF_003991565.1	540
GCF_900105025.1	536
GCF_004803915.1	528
GCF_025149625.1	518
GCF_030863805.1	516
GCF_023497905.1	516
GCF_900128725.1	516
GCF_963931465.1	512
GCF_030013905.1	510
GCF_022845775.1	496
GCF_032163505.1	494
GCF_026410065.1	493
GCF_020181435.1	486
GCF_001865535.1	484
GCF_030296935.1	480
GCF_015689475.1	480
GCF_025151995.1	479
GCF_029919115.1	462
GCF_001991075.2	458
GCF_026723765.1	456
GCF_003966955.1	453
GCF_002896855.1	450
GCF_029590275.1	448
GCF_026015965.1	444
GCF_963556055.2	444
GCF_020735905.1	442
GCF_963666085.1	439
GCF_002910725.2	438
GCF_002094955.1	434
GCF_000364165.2	433
GCF_008935055.1	430
GCF_022846135.1	430
GCF_037018265.1	423
GCF_000210715.1	423
GCF_023822465.1	411
GCF_004103755.1	410
GCF_963931535.1	408
GCF_025148965.1	407
GCF_001717505.1	407
GCF_033814055.1	406
GCF_026314295.1	402
GCF_009936295.1	401
GCF_030908625.1	401
GCF_900015215.1	400
GCF_035905475.1	397
GCF_016599855.1	396
GCF_023744375.2	396
GCF_030263895.1	393
GCF_000953555.1	387
GCF_027474965.1	382
GCF_030908465.1	381
GCF_963931665.1	375
GCF_015277515.1	374
GCF_027594565.1	374
GCF_902381775.1	374
GCF_016127875.1	371
GCF_022354665.1	370
GCF_951793255.1	370
GCF_010537335.1	369
GCF_014235165.1	366
GCF_005280655.1	357
GCF_963931295.1	352
GCF_029689925.1	345
GCF_014218355.1	335
GCF_002777255.1	335
GCF_030008055.1	333
GCF_009931695.1	333
GCF_033100115.1	330
GCF_036417355.1	328
GCF_016696765.1	322
GCF_940670685.1	322
GCF_022682305.1	321
GCF_001858005.1	316
GCF_900637175.1	313
GCF_016127575.1	307
GCF_029101585.1	307
GCF_003033925.1	307
GCF_038269515.1	307
GCF_001890425.1	306
GCF_029542585.1	304
GCF_009834925.2	302
GCF_002741375.1	300
GCF_002074155.1	300
GCF_028622835.1	300
GCF_029025785.1	299
GCF_017945865.1	298
GCF_018128285.1	295
GCF_001683335.1	293
GCF_003614235.1	291
GCF_016126935.1	290
GCF_023115465.1	289
GCF_000577895.1	289
GCF_002003305.1	287
GCF_030913655.1	284
GCF_004801255.1	283
GCF_033128185.1	281
GCF_963667225.1	279
GCF_900097245.1	278
GCF_013267535.1	277
GCF_024758805.1	276
GCF_003006415.1	276
GCF_000424065.1	276
GCF_940677205.1	273
GCF_032363495.1	271
GCF_022869825.1	269
GCF_005696695.1	268
GCF_020923495.1	267
GCF_963677565.1	267
GCF_003589745.1	266
GCF_900637575.1	266
GCF_033060595.1	264
GCF_003345215.1	264
GCF_000270285.1	263
GCF_004803695.1	263
GCF_036250655.1	262
GCF_019916025.1	262
GCF_030219305.1	260
GCF_004135735.1	260
GCF_016584445.1	260
GCF_022649565.1	259
GCF_002327185.1	257
GCF_000230835.1	256
GCF_016694795.1	255
GCF_026240615.1	255
GCF_024399475.1	254
GCF_900250055.1	254
GCF_018732185.1	253
GCF_963931375.1	251
GCF_026240815.1	250
GCF_030913705.1	250
GCF_001717585.1	249
GCF_005473905.2	248
GCF_016591975.1	248
GCF_019203185.1	247
GCF_900070325.1	245
GCF_001634325.1	240
GCF_030166735.1	240
GCF_018316795.1	239
GCF_023168405.1	237
GCF_001318225.1	237
GCF_002998295.1	235
GCF_032598785.1	234
GCF_009913235.1	233
GCF_018141425.1	233
GCF_017671885.1	232
GCF_002285495.1	231
GCF_001653795.1	230
GCF_037911825.1	227
GCF_014720855.1	226
GCF_002078375.4	225
GCF_026222675.1	225
GCF_001735765.2	224
GCF_000966445.2	222
GCF_013357625.1	221
GCF_033582035.1	219
GCF_015775755.1	219
GCF_003254825.1	218
GCF_014218335.1	218
GCF_002003285.1	217
GCF_030388745.1	217
GCF_033096405.1	217
GCF_017348895.1	217
GCF_038396635.1	216
GCF_018128205.1	216
GCF_023988885.1	214
GCF_900187165.1	213
GCF_018336475.1	213
GCF_019977655.1	213
GCF_037977055.1	213
GCF_029636405.1	213
GCF_002224645.1	212
GCF_014898175.1	211
GCF_902386925.1	211
GCF_900660745.1	211
GCF_002006215.2	210
GCF_015708635.1	209
GCF_003718715.1	208
GCF_007725005.1	207
GCF_029101545.1	207
GCF_002024615.2	206
GCF_001643775.1	206
GCF_001465275.1	205
GCF_900120375.1	204
GCF_001189515.2	203
GCF_004135285.1	203
GCF_013394535.1	203
GCF_002998925.1	201
GCF_024499075.1	201
GCF_036323475.1	200
GCF_010120715.1	200
GCF_000023585.1	200
