accession	reads
GCF_001554015.1	363
GCF_020735565.1	347
GCF_011038705.2	340
GCF_028743775.1	339
GCF_016127595.1	337
GCF_001190745.1	337
GCF_023347255.1	336
GCF_033096465.1	332
GCF_023347335.1	331
GCF_005121165.3	329
GCF_902381825.1	328
GCF_020736365.1	315
GCF_963677565.1	299
GCF_002216145.1	299
GCF_023347315.1	296
GCF_003991565.1	289
GCF_018128225.1	286
GCF_900636515.1	284
GCF_001940225.2	280
GCF_014055025.1	280
GCF_024758225.1	279
GCF_014334835.1	273
GCF_023347535.1	270
GCF_003287895.1	269
GCF_023008305.1	267
GCF_021378605.1	263
GCF_024346585.1	259
GCF_035666155.1	256
GCF_018408575.1	251
GCF_009867035.2	251
GCF_022845735.1	248
GCF_003627155.1	246
GCF_033947525.1	246
GCF_037076355.1	244
GCF_024722395.1	244
GCF_008327825.1	242
GCF_009671065.1	241
GCF_001278825.1	238
GCF_017347605.1	235
GCF_012273195.1	234
GCF_027125355.1	230
GCF_017161265.1	225
GCF_902141215.1	224
GCF_900187175.1	223
GCF_003812445.1	221
GCF_916618745.1	221
GCF_033688205.1	220
GCF_963667135.1	219
GCF_028463985.1	218
GCF_003175155.1	218
GCF_034355335.1	214
GCF_013394735.1	209
GCF_019249725.2	208
GCF_022024015.1	205
GCF_024181185.1	203
