accession	seq_abundance
GCF_020735865.1	0.001183277454919822
GCF_020091425.1	0.00035904613821829555
GCF_014199665.1	0.0001311054007615124
GCF_002257605.1	0.00044918110124183533
GCF_001006485.1	5.0444851464878795e-05
GCF_003033925.1	3.358722343727548e-05
GCF_000821285.2	0.00560744456753121
GCF_015558405.1	0.00530183070852952
GCF_027677115.1	0.004443670748076235
GCF_006542665.1	0.0026727662543916788
GCF_900604385.1	0.0016065532898002517
GCF_900624755.1	0.0014605961053587241
GCF_014163495.1	0.0011840883281667193
GCF_006542685.1	0.0007388335605414397
GCF_900538695.1	0.0005586489895729809
GCF_020743775.1	0.0004502907172639054
GCF_009557455.1	0.00017813604908156015
GCF_963667355.1	2.680149468692376e-05
GCF_002159415.1	0.005675387210113347
GCF_014196975.1	0.0011488366806963388
GCF_003991565.1	0.000494333937832226
GCF_016889065.1	0.00039434046322798654
GCF_000803105.1	0.0005466139234874515
GCF_015559395.1	0.00014305511176842108
GCF_002314965.1	0.0006784448424172405
GCF_022845615.1	0.0001696858962981033
GCF_000739415.1	7.908148034214925e-05
GCF_036320655.1	3.9519401401419426e-05
GCF_900638305.1	3.388596621244819e-05
GCF_900476255.1	2.4155487249679696e-05
GCF_018127745.1	1.9247570228985057e-05
GCF_938034265.1	1.8180631746225352e-05
GCF_900454815.1	1.4168943051048867e-05
GCF_963667135.1	5.795609838350711e-05
GCF_009676955.1	9.29516806180254e-05
GCF_005304985.1	7.16982660414521e-05
GCF_003024815.1	6.358953357247835e-05
GCF_001688845.2	4.758545633108279e-05
GCF_900095135.1	4.737206863453085e-05
GCF_022267555.1	3.217886464003267e-05
GCF_900095795.1	5.309085890212286e-05
GCF_011299335.1	1.993041085795127e-05
GCF_011299555.1	1.6558885252430605e-05
GCA_020719485.1	5.172517764419044e-05
GCF_913060805.1	8.7190212811123e-05
GCF_900111425.1	4.5024803972459504e-05
GCF_010448835.1	1.0925450063459367e-05
GCF_009689585.1	3.555039024555333e-05
GCF_009762775.1	1.2589874096564506e-05
GCF_003046625.1	1.1736323310356742e-05
GCF_947495665.1	1.0455997131045097e-05
GCF_947496295.1	3.8025687525555845e-05
GCF_023674465.1	1.6089432320016335e-05
GCF_002201795.1	1.084009498483859e-05
GCF_963677365.1	2.5265103271749787e-05
GCF_016342745.1	1.084009498483859e-05
GCF_963665805.1	9.645123884147722e-06
GCF_019774515.1	1.2376486400012564e-05
GCF_027111095.2	8.663540480008794e-06
GCF_004151275.2	2.812449840554579e-05
GCF_003076455.1	2.266177337381611e-05
GCF_003096035.1	1.7967244049673414e-05
GCF_027111335.1	1.8223309285535742e-05
GCF_027111315.2	1.6345497555878663e-05
GCF_027111255.2	1.8436696982087683e-05
GCF_024271895.1	8.919605715871124e-06
GCF_001705175.1	8.834250637250348e-06
GCF_001879205.1	1.5534624308981286e-05
GCF_029625315.1	8.962283255181512e-06
GCF_002999135.1	1.4040910433117703e-05
GCF_019357415.1	1.805259912829419e-05
GCF_003024155.1	9.559768805526946e-06
GCF_913045485.1	1.1010805142080143e-05
GCF_014642775.1	9.47441372690617e-06
GCF_019263805.1	1.3358069804151491e-05
GCF_013394675.1	1.7839211431742248e-05
GCF_013394655.1	1.5748012005533228e-05
GCF_003992675.1	1.0968127602769755e-05
GCF_030553095.1	1.0712062366907427e-05
GCF_011784865.1	1.502249383725663e-05
GCF_014353055.1	2.9660889820719766e-05
GCF_022760175.1	1.4339653208290419e-05
GCF_003815675.1	1.3998232893807315e-05
GCF_002770595.1	2.7142915001406866e-05
GCF_900460995.1	2.9788922438650932e-05
GCF_004328965.1	2.2277675520022617e-05
GCF_020872015.1	1.130954791725286e-05
GCF_003860545.1	1.0925450063459367e-05
GCF_017948305.1	3.478219453796634e-05
GCF_002022145.1	1.0882772524148979e-05
GCF_000689455.1	1.1010805142080143e-05
GCF_004088395.1	2.539313588968095e-05
GCF_013488205.1	1.0285286973803545e-05
GCF_907163105.1	1.3614135040013821e-05
GCF_011305775.1	1.7156370802776037e-05
GCF_022919335.1	2.0143798554503207e-05
GCF_022921055.1	2.9746244899340542e-05
GCF_006337165.1	9.773156502078887e-06
GCF_008727865.1	8.706218019319182e-06
GCF_004355185.1	1.084009498483859e-05
GCF_031851795.1	1.4211620590359255e-05
GCF_010092985.1	8.962283255181512e-06
GCF_001078055.1	1.3102004568289163e-05
GCF_001577755.1	8.748895558629572e-06
GCF_013375035.1	2.445423002485241e-05
GCF_012849055.1	2.8807339034512003e-05
GCF_013127955.1	9.090315873112676e-06
GCF_011604685.1	8.53550786207763e-06
GCF_026278345.1	1.1138837760011308e-05
GCF_010119975.1	1.1907033467598294e-05
GCA_004292915.1	4.468338365797639e-05
GCF_003325355.1	1.0242609434493157e-05
GCF_019924045.1	1.1010805142080143e-05
GCF_023822005.2	1.0754739906217815e-05
GCF_023821985.2	9.218348491043842e-06
GCF_020149935.1	2.0826639183469418e-05
GCF_000325705.1	4.0629017423489524e-05
GCF_003260975.1	2.9746244899340542e-05
GCF_014838715.1	1.664424033105138e-05
GCF_003589925.1	2.2789805991747273e-05
GCF_001682195.2	1.732708096001759e-05
GCF_030506285.1	1.0114576816561991e-05
GCF_034262375.1	2.906340427037433e-05
GCF_012849215.1	1.250451901794373e-05
GCF_014643835.1	3.499558223451829e-05
GCF_020783335.1	8.79157309793996e-06
GCF_002355435.1	8.620862940698406e-06
GCF_009557615.1	1.0114576816561991e-05
GCF_016725645.1	3.3075092965550816e-05
GCF_901482695.1	1.3656812579324209e-05
GCF_016725865.1	1.1266870377942472e-05
GCF_001412655.1	1.3144682107599551e-05
GCF_031119335.1	1.0498674670355485e-05
GCF_011303555.1	9.645123884147722e-06
GCF_014395225.1	1.9460957925537e-05
GCF_015679185.1	1.8351341903466904e-05
GCF_032678725.1	8.834250637250348e-06
GCF_008245145.1	1.9503635464847385e-05
GCF_014334135.1	1.0242609434493157e-05
GCF_004346135.1	1.3230037186220327e-05
GCF_008086345.1	3.0301052910375588e-05
GCF_018255755.1	1.0968127602769755e-05
GCF_034274695.1	8.919605715871124e-06
GCF_900102545.1	2.9660889820719766e-05
GCF_034479145.1	2.1552157351746016e-05
GCF_002557795.1	1.109616022070092e-05
GCF_012516355.1	1.0455997131045097e-05
GCF_007971385.1	1.5790689544843617e-05
GCF_003600625.1	1.4510363365531972e-05
GCF_018595685.2	1.5833367084154004e-05
GCF_002077985.1	2.168018996967718e-05
GCF_002355595.1	1.617478739863711e-05
GCF_007970805.1	9.47441372690617e-06
GCF_003555545.1	8.834250637250348e-06
GCF_014168535.1	9.815834041389275e-06
GCF_030845195.1	9.218348491043842e-06
GCF_004291315.1	8.748895558629572e-06
GCF_025244685.1	9.26102603035423e-06
GCF_009936255.1	1.2675229175185282e-05
GCF_023347275.1	0.0065891986818273785
GCF_023347535.1	0.0018619783625729246
GCF_023347335.1	0.0021755302438863466
GCF_023347315.1	0.0021291397586559544
GCF_023347255.1	0.0010187555408782756
GCF_023347235.1	0.0004901088614404976
GCF_023347295.1	0.00039118232531901783
GCF_023347355.1	0.0006934246587151867
GCF_000166035.1	0.0077271525899995685
GCF_010509575.1	0.0026590667642730445
GCF_018408575.1	0.0015117237974525692
GCF_018326305.1	0.0008869246219484866
GCF_036321785.1	0.002210568503660175
GCF_010508875.1	0.0016543948113671967
GCF_025152575.1	0.0013529633512179252
GCF_027666165.1	0.0012443916912122978
GCF_000723465.1	0.0008950333544174604
GCF_027942055.1	2.3429969081403095e-05
GCF_023921805.1	1.570533446622284e-05
GCF_025151995.1	2.0826639183469418e-05
GCF_005601135.1	1.2632551635874894e-05
GCF_900109655.1	1.0157254355872381e-05
GCF_003112755.1	0.0008848334225222776
GCF_023008305.1	0.000823420443454629
GCF_018408705.1	0.0006542893551675608
GCF_015140235.1	0.0001905125354815727
GCF_029211325.2	2.910608180968472e-05
GCF_014467055.1	1.1608290692425578e-05
GCF_003612835.1	2.6716139608302982e-05
GCF_003475105.1	0.001534598958522937
GCF_000152245.2	3.811104260417662e-05
GCF_002441855.2	2.586258882209522e-05
GCF_022174665.1	2.1424124733814854e-05
GCF_000807675.2	1.199238854621907e-05
GCF_001940005.1	0.0006168611531923503
GCF_008727735.1	0.000541834039084688
GCF_900312975.1	6.469914959454844e-05
GCF_000270305.1	2.7612367933821135e-05
GCF_020138775.1	6.802799766075871e-05
GCF_020911725.1	1.0925450063459367e-05
GCF_030585465.1	1.0071899277251603e-05
GCF_002003305.1	8.748895558629572e-06
GCF_009721605.1	0.00019422548140157647
GCF_029590275.1	1.0114576816561991e-05
GCF_032769475.1	8.369065458767117e-05
GCF_033193315.1	4.336037993935436e-05
GCF_018128945.1	2.7655045473131522e-05
GCF_018118585.1	2.4326197406921248e-05
GCF_029211205.1	1.8351341903466904e-05
GCF_004103755.1	1.2333808860702176e-05
GCF_900604345.1	2.513707065381862e-05
GCF_000146185.1	0.003063308416621041
GCF_001404735.1	0.0011421789845639182
GCF_001404455.1	0.0004005287064279928
GCF_033096465.1	0.0003090280621465206
GCF_005848555.1	0.0002716425377106206
GCF_025147905.1	0.0006106302324530337
GCF_005844445.1	6.034604058488885e-05
GCF_001689125.2	4.42992858041829e-05
GCF_003287895.1	4.5579611983494546e-05
GCF_001404935.1	3.478219453796634e-05
GCF_020215665.1	3.286170526899888e-05
GCF_900461125.1	3.0557118146237916e-05
GCF_015159595.1	2.453958510347319e-05
GCF_000765245.1	2.3301936463471932e-05
GCF_001487165.1	9.896921366079013e-05
GCF_022453685.1	0.002817571145271826
GCF_014337175.1	0.0025485746149984494
GCF_902387955.1	0.0016744532548430792
GCF_001406435.1	0.0004012542245962694
GCF_014287515.2	0.00012141759933805429
GCF_001404635.1	0.0008972952640009109
GCF_003436235.1	0.00042417206320594786
GCF_016904155.1	0.001925781283841955
GCF_001404315.1	4.442731842211407e-05
GCF_001406655.1	0.00041503906979352477
GCF_003436725.1	0.00015585837356153754
GCF_003470435.1	5.240801827315665e-05
GCF_018140635.1	0.0004341586074045787
GCF_002234575.2	0.00024846863386507984
GCF_025149125.1	0.0001462986047560106
GCF_020892115.1	0.00017689840044155889
GCF_900120345.1	8.181284285801409e-05
GCF_022845755.1	5.07862717793619e-05
GCF_000210695.1	0.0002287516107036805
GCF_020181435.1	1.3827522736565761e-05
GCF_005280655.1	1.2760584253806058e-05
GCF_902373805.1	8.911070208009047e-05
GCF_900115735.1	1.5193203994498182e-05
GCF_037113525.1	1.062670728828665e-05
GCF_001858005.1	9.986544198630827e-06
GCF_014337155.1	0.00011288209147597666
GCF_000210535.1	4.122650297383495e-05
GCF_026723765.1	1.9247570228985057e-05
GCF_900102475.1	5.4541895238676056e-05
GCF_033100115.1	1.2632551635874894e-05
GCF_029689925.1	1.0754739906217815e-05
GCF_009931695.1	8.962283255181512e-06
GCF_014337215.1	5.121304717246578e-05
GCF_030296795.1	4.890846004970482e-05
