accession	reads
GCF_008728395.1	2019313
GCF_016117815.1	917223
GCF_024760065.1	694316
GCF_022845675.1	655269
GCF_020735865.1	365240
GCF_008369705.1	363724
GCF_963360645.1	336256
GCF_963360665.1	262699
GCF_022846055.1	253856
GCF_902388275.1	204765
GCF_900187175.1	175939
GCF_018289135.1	172477
GCF_031344955.1	165332
GCF_024759225.1	164155
GCF_025914175.1	139379
GCF_013009555.1	100689
GCF_020735745.1	97433
GCF_022453685.1	74470
GCF_033096525.1	73952
GCF_020091485.1	67746
GCF_016724805.1	64847
GCF_023347355.1	58273
GCF_002734145.1	56656
GCF_010231335.1	46763
GCF_020735725.1	39655
GCF_028743455.1	39476
GCF_009193325.2	39474
GCF_000723465.1	38145
GCF_023347235.1	37342
GCF_023008345.1	33036
GCF_025914115.1	32462
GCF_023008305.1	32264
GCF_020736365.1	32221
GCF_018408575.1	32157
GCF_023921805.1	30045
GCF_005121165.3	29817
GCF_023008285.1	27988
GCF_015679285.1	27789
GCF_023347295.1	27307
GCF_016904155.1	26712
GCF_023347535.1	25472
GCF_030296935.1	23176
GCF_018289315.1	22831
GCF_900683755.1	22632
GCF_025914295.1	21917
GCF_032452855.1	21906
GCF_023347275.1	21764
GCF_025147905.1	21272
GCF_003574015.1	20957
GCF_018326305.1	20894
GCF_032451715.1	20496
GCF_032878895.1	20201
GCF_011038705.2	20029
GCF_006542665.1	18635
GCF_000210695.1	17459
GCF_023347315.1	17015
GCF_020181455.1	16900
GCF_928852565.1	16485
GCF_023347335.1	16345
GCF_023347255.1	16103
GCF_025151715.1	15974
GCF_020550085.1	15661
GCF_004154955.1	15579
GCF_036815185.2	15162
GCF_025152575.1	14226
GCF_022845735.1	13889
GCF_034270385.1	12968
GCF_026072915.1	12091
GCF_003856815.1	11849
GCF_900312975.1	11465
GCF_963931595.1	10771
GCF_014334055.1	10667
GCF_004115325.2	10253
GCF_024788145.1	9821
GCF_004328515.1	9557
GCF_020091345.1	8423
GCF_036416795.1	8322
GCF_022453915.1	7894
GCF_004801255.1	7656
GCF_027942055.1	7580
GCF_020735365.1	7537
GCF_018408705.1	7275
GCF_014337175.1	6752
GCF_024758225.1	6557
GCF_027116535.1	6529
GCF_014334015.1	6518
GCF_004319565.1	6344
GCF_018140635.1	6021
GCF_016697125.1	5873
GCF_025150745.1	5745
GCF_025147085.1	5395
GCF_002234575.2	5141
GCF_009193295.2	4920
GCF_011405655.1	4806
GCF_008727735.1	4511
GCF_018289295.1	4448
GCF_033539415.1	4423
GCF_005601135.1	4412
GCF_012113595.1	4305
GCF_002257605.1	4240
GCF_033096465.1	4151
GCF_025150245.1	4048
GCF_000209835.1	4004
GCF_900010805.1	3931
GCF_015097455.1	3870
GCF_020091425.1	3516
GCF_000001405.40	3507
GCF_018847615.1	3464
GCF_005848555.1	3343
GCF_000783815.2	3214
GCF_001721905.1	3037
GCF_020091405.1	2993
GCF_902381825.1	2979
GCF_025149285.1	2464
GCF_013874375.1	2424
GCF_006542685.1	2411
GCF_003628755.1	2344
GCF_009867035.2	2214
GCF_010537335.1	2195
GCF_963931395.1	2130
GCF_022845775.1	2057
GCF_016888945.1	1946
GCF_900604385.1	1940
GCF_002874775.1	1922
GCF_014337215.1	1855
GCF_033947525.1	1832
GCF_025148445.1	1768
GCF_016887735.2	1721
GCF_029581355.1	1692
GCF_032769475.1	1589
GCF_902381675.1	1580
GCF_012273195.1	1548
GCF_015140235.1	1544
GCF_900120345.1	1540
GCF_025149915.1	1534
GCF_033193315.1	1518
GCF_021378605.1	1449
GCF_027923645.1	1418
GCF_024793605.1	1415
GCF_002849795.1	1380
GCF_015159595.1	1303
GCF_900604345.1	1297
GCF_000210595.1	1244
GCF_014337195.1	1227
GCF_018406465.1	1210
GCF_022404755.1	1209
GCF_016027135.1	1139
GCF_018866245.1	1139
GCF_020138415.1	1116
GCF_020341675.1	1114
GCF_020892095.1	1078
GCF_029211325.2	1072
GCF_023744375.2	1069
GCF_002201475.1	1045
GCF_014337155.1	1042
GCF_014131715.1	1020
GCF_005222505.1	1014
GCF_021484885.1	988
GCF_034051595.1	981
GCF_019355395.1	944
GCF_003175155.1	939
GCF_018223625.1	937
GCF_016889065.1	929
GCF_002998535.1	925
GCF_963677685.1	923
GCF_016906045.1	900
GCF_002813085.1	868
GCF_018118585.1	852
GCF_036287215.1	832
GCF_018128945.1	813
GCF_013315815.1	774
GCF_001921945.1	768
GCF_000722765.2	726
GCF_003991565.1	726
GCF_014287515.2	689
GCF_002078375.4	678
GCF_037039345.1	675
GCF_022174665.1	671
GCF_024399475.1	665
GCF_022845755.1	656
GCF_003173275.1	646
GCF_019249725.2	643
GCF_018127985.1	631
GCF_001940165.2	625
GCF_022023815.1	622
GCF_027497435.1	601
GCF_020911725.1	599
GCF_016066915.1	597
GCF_016600925.1	585
GCF_024759285.1	582
GCF_022846135.1	581
GCF_003287895.1	577
GCF_014467055.1	575
GCF_014303955.1	571
GCF_016696745.1	570
GCF_034355335.1	570
GCF_001865535.1	561
GCF_026314295.1	552
GCF_001991075.2	550
GCF_002998435.1	545
GCF_002441855.2	533
GCF_024498295.1	511
GCF_004103755.1	502
GCF_023008365.1	488
GCF_029590275.1	475
GCF_963931465.1	475
GCF_030013905.1	472
GCF_001940225.2	464
GCF_023822465.1	456
GCF_022354665.1	455
GCF_030908625.1	447
GCF_025213355.1	447
GCF_963664915.1	447
GCF_020215665.1	439
GCF_000270305.1	437
GCF_900683775.1	432
GCF_011801285.1	418
GCF_035986805.1	405
GCF_008253725.1	396
GCF_900128725.1	384
GCF_032878955.1	383
GCF_009557455.1	378
GCF_008935055.1	372
GCF_004803915.1	367
GCF_024181205.1	367
GCF_037018265.1	361
