TaxonomyInput	nb_genomes	Reads
729	1	4944831
43675	1	382534
28037	1	364409
29466	1	284871
726	1	223338
727	1	183566
1660	1	181707
712633	1	135251
1303	1	109737
1313	1	98596
249188	1	93822
2663009	1	85108
732	1	77349
2610896	1	64167
1433513	1	58217
113107	1	57253
1379	1	55130
78535	1	49163
2598453	1	44979
488	1	38852
2382163	1	36914
739	1	36683
712310	1	35328
28449	1	31680
39778	1	26357
1156431	1	24006
1156433	1	23065
495	1	19666
1852377	1	16418
714	1	15952
47671	1	15398
84135	1	14120
747	1	14055
28132	1	13435
1302	1	12108
1304	1	11776
1305	1	9802
617123	1	9303
29391	1	8933
484	1	8455
1906744	1	8271
589873	1	7040
837	1	6718
483	1	6108
487	1	5978
45634	1	5596
860	1	5494
1017	1	5463
39777	1	5197
851	1	5081
172042	1	4789
735	1	3986
712710	1	3907
248315	1	3686
544580	1	3423
1307	1	3292
1655	1	3155
12402	1	3119
712357	1	3019
539	1	2885
95486	1	2739
2047	1	2636
52773	1	2476
28131	1	2408
486	1	2389
1328	1	2310
1308	1	2306
731	1	2265
2490633	1	2085
715	1	1978
1583098	1	1967
1338	1	1801
36874	1	1732
485	1	1728
738	1	1718
75985	1	1686
1335	1	1676
28129	1	1663
1656	1	1657
1177574	1	1656
762	1	1613
393921	1	1445
2545799	1	1445
1343	1	1417
28188	1	1299
327575	1	1242
730	1	1219
754	1	1203
1019	1	1173
28135	1	1140
716	1	1094
85404	1	990
2718	1	958
2133944	1	954
1311	1	882
584	1	879
1314	1	832
114527	1	816
489	1	814
1747	1	806
1351	1	798
2030797	1	793
33033	1	753
34085	1	746
1334	1	735
123824	1	725
718	1	715
1432056	1	688
199	1	682
189834	1	678
492670	1	676
2606626	1	676
2576606	1	638
51161	1	635
1839799	1	626
817	1	624
197575	1	620
82348	1	596
85402	1	595
749	1	593
728	1	584
33040	1	553
2364787	1	550
51049	1	549
1888195	1	529
1309	1	524
28901	1	520
47678	1	493
2585119	1	486
1310	1	486
821	1	484
76123	1	482
1496	1	480
1491	1	464
1585976	1	448
204	1	444
818	1	438
2173853	1	436
1358	1	431
2652177	1	430
1796646	1	424
126385	1	421
28113	1	409
28119	1	408
2679994	1	404
1340	1	393
1642646	1	392
2021971	1	388
315405	1	388
1624	1	385
2585118	1	385
1825069	1	380
29394	1	380
253	1	379
1346	1	377
1349	1	368
1701813	1	361
2528037	1	359
1316596	1	348
339	1	344
79329	1	340
562	1	339
1639	1	334
1750	1	327
2571750	1	321
1448274	1	320
1280	1	317
190893	1	312
157687	1	309
655307	1	307
1642647	1	305
1032623	1	295
47878	1	294
670	1	292
1348	1	290
149016	1	287
1599	1	287
2708117	1	284
720	1	282
1352	1	281
820	1	277
44008	1	276
1903686	1	271
1329	1	267
29549	1	266
157924	1	263
1326	1	263
326522	1	262
1260	1	259
587	1	257
326523	1	257
680	1	257
237258	1	254
400065	1	253
640030	1	252
536441	1	252
28116	1	251
43768	1	251
1814128	1	250
303	1	249
1359	1	246
45243	1	242
712122	1	242
585	1	241
2291597	1	240
56	1	240
40324	1	236
246787	1	235
201	1	232
573	1	231
250	1	230
33945	1	229
1428	1	228
28118	1	227
1912897	1	225
1502	1	224
554406	1	221
1316593	1	218
2756	1	218
823	1	217
470	1	213
38293	1	205
254	1	201
