TaxonomyInput	nb_genomes	Reads
729	1	219672
1303	1	145134
28037	1	107476
726	1	55044
712310	1	37632
29466	1	35187
1305	1	33435
1313	1	31497
727	1	27752
1433513	1	19730
1302	1	18874
1019	1	16073
851	1	15918
544580	1	15015
1655	1	13785
488	1	13137
1379	1	12100
732	1	12017
47671	1	11703
1017	1	10214
2598453	1	9379
712357	1	7062
113107	1	7054
2718	1	6690
172042	1	6224
495	1	5757
1750	1	4495
29391	1	4237
1656	1	4005
2708117	1	3863
249188	1	3805
2663009	1	3586
539	1	3311
2047	1	3142
487	1	3088
483	1	3085
1583098	1	3044
739	1	2985
712633	1	2950
714	1	2883
28449	1	2777
39778	1	2706
43675	1	2496
1658672	1	2120
28132	1	2079
45634	1	1842
28131	1	1642
821	1	1305
357276	1	1283
84135	1	1228
712710	1	1207
1660	1	1197
735	1	1197
1316596	1	1178
486	1	1121
1304	1	1107
837	1	1084
485	1	1038
1853278	1	971
484	1	970
39777	1	961
1747	1	918
28116	1	904
2545799	1	752
1705617	1	695
248315	1	691
817	1	688
327575	1	632
2528037	1	608
1316593	1	606
655307	1	588
489	1	584
326522	1	560
1328	1	554
78535	1	525
1307	1	507
712122	1	502
43768	1	478
157687	1	461
820	1	448
492	1	442
2133944	1	440
2666100	1	440
860	1	439
747	1	436
2610896	1	413
47678	1	409
1343	1	404
1338	1	403
1853276	1	399
2382163	1	385
326523	1	379
28129	1	375
371601	1	372
1156431	1	350
157692	1	335
712991	1	335
109328	1	330
1311	1	313
1177574	1	300
617123	1	294
1906744	1	293
818	1	293
1308	1	272
1211417	1	260
76123	1	240
1156433	1	235
493	1	229
28135	1	227
33040	1	223
1334	1	220
36874	1	219
199	1	218
197575	1	213
2528203	1	212
738	1	209
246787	1	206
1282	1	202
589873	1	201
