TaxonomyInput	nb_genomes	Reads
28037	1	83452
729	1	82441
1303	1	40384
43675	1	40208
29466	1	23250
1302	1	20266
199	1	19898
1313	1	18263
28449	1	18151
544580	1	16268
1655	1	13912
851	1	12758
1433513	1	11806
39778	1	11208
1305	1	9800
1379	1	8460
28132	1	8273
2663009	1	8186
43768	1	7524
712633	1	7320
1660	1	6656
1017	1	6598
2598453	1	5860
739	1	5761
2047	1	5514
1656	1	4890
113107	1	4533
726	1	4460
29391	1	4376
732	1	3826
1019	1	3814
2610896	1	3811
1304	1	3746
47671	1	3543
727	1	3417
1177574	1	3408
39777	1	3214
45634	1	2884
488	1	2635
2708117	1	2603
84135	1	2363
327575	1	2230
2545799	1	2169
172042	1	2165
157687	1	2081
28131	1	1603
860	1	1492
249188	1	1421
1747	1	1413
1583098	1	1392
712310	1	1373
712357	1	1294
617123	1	1212
484	1	1155
539	1	1005
554406	1	1002
821	1	987
78535	1	983
495	1	948
712122	1	839
204	1	832
208479	1	782
1343	1	772
28116	1	733
824	1	676
853	1	644
735	1	632
1316596	1	610
818	1	607
487	1	592
714	1	561
2382163	1	550
1338	1	539
109328	1	449
28129	1	448
1328	1	443
28135	1	442
52773	1	435
1852377	1	431
1156433	1	428
114527	1	427
589873	1	422
157688	1	393
1156431	1	390
2564099	1	372
47678	1	356
157692	1	356
1316593	1	333
1335	1	332
248315	1	330
712710	1	314
1705617	1	308
1834205	1	288
111015	1	281
1839799	1	271
52774	1	260
1308	1	258
1307	1	257
486	1	248
712538	1	244
747	1	238
52771	1	236
76123	1	232
1851395	1	225
2718	1	222
2081702	1	222
713030	1	207
