TaxonomyInput	nb_genomes	Reads
28037	1	2577789
1313	1	1010632
729	1	634149
1379	1	494603
1433513	1	417463
2598453	1	273577
1303	1	246869
726	1	171165
28449	1	165802
735	1	162050
712633	1	99967
727	1	84234
2663009	1	78779
113107	1	57658
712310	1	56495
484	1	53395
1305	1	53297
39778	1	41033
84135	1	40530
29466	1	39900
29391	1	29498
172042	1	27333
1660	1	26587
47671	1	25874
1302	1	24406
1019	1	22832
1304	1	19514
495	1	17691
45634	1	17377
487	1	17143
488	1	17081
732	1	16597
78535	1	14786
712357	1	14108
43675	1	12409
28131	1	12196
249188	1	11077
739	1	11044
851	1	10700
1307	1	9594
28132	1	8795
2382163	1	8560
860	1	8484
33033	1	8357
2047	1	7872
39777	1	7381
2545799	1	6273
1343	1	6156
2610896	1	5782
1583098	1	5717
1156431	1	5629
327575	1	5628
486	1	5395
483	1	5350
617123	1	5296
1338	1	5259
1328	1	5177
837	1	5008
43768	1	4861
1309	1	4459
1017	1	4359
1156433	1	4157
2708117	1	4140
12402	1	4054
712991	1	4035
75985	1	3689
589873	1	3676
738	1	3582
714	1	3450
189834	1	3449
1308	1	3351
199	1	3348
85404	1	3286
485	1	3203
712710	1	3200
1750	1	3146
28135	1	3094
539	1	2680
747	1	2634
109328	1	2529
157924	1	2463
248315	1	2387
2718	1	2358
357276	1	2336
1566990	1	2332
1316596	1	2171
1656	1	2161
1334	1	2151
1311	1	2068
1825069	1	2067
544580	1	2032
489	1	1943
1177574	1	1928
1314	1	1926
1655	1	1919
644007	1	1893
1585976	1	1863
1345	1	1796
2030797	1	1779
33040	1	1762
715	1	1741
1335	1	1672
29394	1	1656
1432056	1	1579
204	1	1520
34085	1	1508
730	1	1508
85402	1	1463
120683	1	1424
28116	1	1373
1852377	1	1284
2679994	1	1265
718	1	1255
157688	1	1228
655307	1	1199
712122	1	1195
820	1	1159
716	1	1151
1839799	1	1122
51049	1	1084
2572087	1	1070
1853278	1	1051
1539298	1	1040
123824	1	1028
52773	1	1011
76860	1	1002
1280	1	972
28129	1	964
157687	1	957
731	1	955
1496	1	941
1491	1	924
371601	1	877
554406	1	860
1701811	1	860
36874	1	844
817	1	832
76123	1	819
1316593	1	815
720	1	805
393921	1	803
1906744	1	792
1705617	1	752
824	1	735
1032623	1	734
2572088	1	721
95486	1	713
1340	1	711
1639	1	710
1351	1	710
818	1	709
754	1	686
47678	1	662
504	1	656
1701814	1	629
1358	1	620
762	1	620
821	1	615
326522	1	611
2666100	1	590
237258	1	585
492	1	574
33959	1	553
713059	1	542
157692	1	540
28118	1	535
2528037	1	531
1624	1	529
253	1	527
82348	1	526
1352	1	513
1747	1	510
1853276	1	502
2133944	1	501
1888195	1	500
1349	1	499
749	1	497
1448274	1	491
147802	1	488
1211417	1	468
254	1	461
1598	1	455
536441	1	453
712411	1	450
1396	1	448
315405	1	446
197575	1	441
728	1	438
1329	1	438
250	1	434
238	1	432
996	1	426
2490633	1	422
2583851	1	422
326523	1	415
1852374	1	407
1884263	1	407
246787	1	401
1359	1	399
44008	1	396
149016	1	396
1310	1	394
150055	1	392
2528203	1	391
859	1	386
64104	1	385
1428	1	381
1785995	1	381
1701842	1	375
1701813	1	375
562	1	375
2585118	1	371
2751	1	367
2713414	1	348
1117645	1	346
51161	1	346
1465	1	343
1502	1	341
197	1	337
584	1	336
1282	1	335
1855823	1	333
493	1	327
1492	1	323
640030	1	319
1448273	1	314
2487072	1	309
28091	1	298
157691	1	298
1493872	1	294
1290	1	291
1286	1	289
28113	1	288
1701837	1	287
2606626	1	286
28188	1	285
28119	1	284
2021971	1	283
28901	1	278
247	1	277
1326	1	276
1701828	1	275
856	1	274
45243	1	273
1903686	1	271
1348	1	267
2585119	1	267
28251	1	264
38293	1	263
421525	1	262
1288	1	262
283734	1	261
34105	1	257
1296	1	257
2015076	1	255
1721091	1	255
1520	1	252
28035	1	251
2487065	1	249
46867	1	248
1404	1	248
2364787	1	246
1346	1	246
1421	1	241
492670	1	240
2686361	1	239
2594269	1	236
1283	1	236
33945	1	233
2571750	1	232
2576606	1	230
1796646	1	230
47715	1	230
1911587	1	229
114527	1	229
1814128	1	229
585	1	229
1685010	1	229
37482	1	228
1124835	1	228
182773	1	228
1354	1	225
1785996	1	225
246	1	223
1701824	1	222
470	1	219
400065	1	219
1540872	1	219
861	1	219
1561	1	218
51669	1	217
1796613	1	217
2494373	1	216
558152	1	215
266749	1	215
29388	1	214
53346	1	213
1260	1	212
1397	1	208
2748	1	207
587	1	206
1324352	1	206
2562451	1	202
1241979	1	200
