accession	reads
GCF_016127355.1	207
GCF_023361095.1	207
GCF_003086355.1	205
GCF_018986735.1	205
GCF_018389405.1	204
GCF_900095795.1	204
GCF_008805035.1	204
GCF_900604385.1	202
GCF_019551475.1	202
GCF_013377195.1	200
GCF_022919455.1	200
GCF_018127985.1	200
