accession	seq_abundance
GCF_001060545.1	0.0013634538480652842
GCF_001061305.1	0.000724502789674293
GCF_030408675.1	0.0006660352748274134
GCF_008868665.1	0.0005451235943076715
GCF_900637725.1	0.0003156600939435393
GCF_018128325.1	0.00022183262986021966
GCF_000730465.1	5.502824926765138e-05
GCF_000185665.1	2.332251970914131e-05
GCF_001189515.2	4.6537562368931735e-05
GCF_032550145.1	2.203279511693073e-05
GCF_029677705.1	2.7406647584474812e-05
GCF_001053035.1	0.07968907319530988
GCF_900477945.1	0.021154707623734028
GCF_016889385.1	0.018012616085961004
GCF_000931575.1	0.009174025978492553
GCF_002998595.1	0.004831630753568883
GCF_900186995.1	0.00024859441514858916
GCF_001647695.1	0.0001057574165612675
GCF_900475885.1	0.00013305658709639144
GCF_017798005.1	0.0008005965406147172
GCF_018128305.1	0.0004057258612995781
GCF_920939465.1	0.0003816510022449806
GCF_001262035.1	0.0008632556603862811
GCF_023518055.1	0.0002801926676577484
GCF_001059425.1	0.00031823954312796047
GCF_003101015.1	0.00035220229072283906
GCF_900636745.1	0.00038154352519562975
GCF_029773625.1	0.000126178055937935
GCF_900638445.1	0.0003612303628683131
GCF_004519515.1	9.40424181820214e-05
GCF_029774155.1	7.673861323652948e-05
GCF_029773605.1	6.996755912742393e-05
GCF_002081635.1	5.8145083698826956e-05
GCF_900638385.1	3.127582136110655e-05
GCF_900444945.1	4.2238480394896475e-05
GCF_002285575.1	0.0003677864628787169
GCF_003261035.1	0.0002737440446966955
GCF_013377255.1	0.00021699616263942998
GCF_014541205.1	0.00015562676746007657
GCF_013378015.1	0.00014874823630162015
GCF_000521605.1	7.684609028588035e-05
GCF_017750945.1	5.868246894558136e-05
GCF_002073255.2	0.00020184189868095566
GCF_963693435.1	4.868710335594937e-05
GCF_020810675.1	3.987398530917708e-05
GCF_900186835.1	3.8046875470212094e-05
GCF_013377295.1	2.39673820052466e-05
GCF_017352235.1	0.00017970162651467406
GCF_002849775.1	0.0001227387903587068
GCF_011765605.1	8.522930013524911e-05
GCF_023611925.1	4.6322608270229976e-05
GCF_900635775.1	4.2131003345545595e-05
GCF_003892335.1	0.00011714998379246096
GCF_000771775.1	8.17900345560209e-05
GCF_030517105.1	2.998609676889597e-05
GCF_010587025.1	4.0303893506580603e-05
GCF_015356115.1	3.912164596372091e-05
GCF_011455495.1	7.802833782874005e-05
GCF_009684715.1	6.341145911702015e-05
GCF_001929895.1	5.148150663907229e-05
GCF_013377195.1	4.3528204987107055e-05
GCF_000007745.1	2.407485905459748e-05
GCF_000157115.2	5.094412139231788e-05
GCF_000364385.3	2.407485905459748e-05
GCF_000783815.2	8.297228209888061e-05
GCF_033675065.1	2.7621601683176574e-05
GCF_900637305.1	0.00022365973969918463
GCF_916618745.1	0.00010489760016646046
GCF_008369605.1	4.26683885923e-05
GCF_005221305.1	0.01544971836713988
GCF_946902045.1	0.002703477699372076
GCF_032342915.1	0.0013830146710471446
GCF_014596425.2	0.0013573276562522838
GCF_943181435.1	0.00019743533965756952
GCF_002237445.1	9.737420671189874e-05
GCF_022870825.1	2.665430823901864e-05
GCF_003351545.1	0.0013797903595666181
GCF_900454435.1	0.0017600441601700373
GCF_005221285.1	0.0014420195711407787
GCF_017753665.1	0.003091899755726162
GCF_008330805.1	0.0016810485288971393
GCF_023472875.1	0.003380475633233279
GCF_902374455.1	0.0007234280191807842
GCF_003351565.1	0.0004286184728113159
GCF_900475315.1	0.00033124426609941715
GCF_013030075.1	0.00024128597579272922
GCF_002216145.1	0.00013047713791197027
GCF_008806995.1	9.006576735603879e-05
GCF_009671065.1	7.54488886443189e-05
GCF_014898075.1	7.147223781833627e-05
GCF_028463985.1	6.975260502872217e-05
GCF_900453685.1	6.0294624685844586e-05
GCF_003813885.1	5.986471648844106e-05
GCF_900638345.1	6.115444108065164e-05
GCF_014055025.1	5.072916729361612e-05
GCF_900638685.1	3.901416891437002e-05
GCF_008807015.1	3.718705907540504e-05
GCF_014297595.1	3.729453612475592e-05
GCF_022870885.1	3.707958202605416e-05
GCF_022870905.1	3.1598252509159196e-05
GCF_900636765.1	2.858889512733451e-05
GCF_020162275.1	0.0003542443546605058
GCF_014054985.1	0.00012155654281584711
GCF_900451365.1	5.4813295168949624e-05
GCF_000751135.1	4.8472149257247606e-05
GCF_900187105.1	0.00018228107569909522
GCF_008805035.1	3.192068365721184e-05
GCF_022749515.1	0.00022183262986021966
GCF_022354425.1	2.536458364680806e-05
GCF_900637555.1	0.0028308380028528707
GCF_000163055.2	0.002824174425793116
GCF_018127805.1	6.964512797937128e-05
GCF_002208725.2	0.001273710511857298
GCF_001548195.1	0.0009526765654462147
GCF_018127825.1	0.0005019178204686171
GCF_002849795.1	0.0001781969478237617
GCF_001683355.1	0.00012757525757949647
GCF_001065995.1	7.59862738910733e-05
GCF_018128205.1	9.318260178721436e-05
GCF_018127765.1	5.008430499751083e-05
GCF_018128125.1	4.739737876373879e-05
GCA_963544265.1	3.353283939747506e-05
GCF_001546595.1	3.4607609890983876e-05
GCF_021531735.1	2.2570180363685137e-05
GCF_900637655.1	0.0003045899578603985
GCF_002224675.1	3.503751808838741e-05
GCF_001444445.1	5.373852467544081e-05
GCF_020735565.1	3.0093573818246853e-05
GCF_003265305.2	2.547206069615894e-05
GCF_018127745.1	0.0018616099718066204
GCF_000739415.1	0.0004765532368218091
GCF_900454815.1	0.0002898656020993277
GCF_938034265.1	4.7074947615686146e-05
GCF_900476255.1	4.6967470566335266e-05
GCF_036320655.1	4.7182424665037025e-05
GCF_900638305.1	4.0948755802685894e-05
GCF_022845615.1	2.6331877090965994e-05
GCF_001535605.1	0.0002039914396679733
GCF_000939155.1	0.00023451492168362367
GCF_018289135.1	0.00018625772652507784
GCF_001314995.1	0.00016992121502374383
GCF_001405515.1	6.889278863391512e-05
GCF_900066265.1	5.4168432872844334e-05
GCF_014131755.1	5.782265255077431e-05
GCF_018292125.1	4.67525164676335e-05
GCF_016889925.1	7.856572307549446e-05
GCF_008571395.1	2.665430823901864e-05
GCF_013874375.1	2.4934675449404533e-05
GCF_017309675.2	2.934123447279068e-05
GCF_902387545.1	0.0003567163267955761
GCF_020885855.1	4.5785223023475565e-05
GCF_003033925.1	0.0002872861529149065
GCF_001006485.1	6.631333944949396e-05
GCF_024592595.1	0.00014455663137693576
GCF_012273055.1	4.331325088840529e-05
GCF_015558405.1	4.6215131220879097e-05
GCF_000821285.2	2.8911326275387155e-05
GCF_006542665.1	2.2785134462386903e-05
GCF_002159415.1	5.019178204686171e-05
GCF_002314965.1	2.5042152498755416e-05
GCF_002302495.1	0.0026946645813253037
GCF_009730375.1	0.0007640543438354174
GCF_002999135.1	0.0002297859315121849
GCF_001278825.1	5.7070313205318134e-05
GCF_002998835.1	5.2771231231282873e-05
GCF_013394735.1	4.6215131220879097e-05
GCF_002302615.1	0.0006818344010819929
GCF_002302415.1	0.0004693522745153
GCF_002209445.1	0.00041432402524764863
GCF_001057035.1	0.00028148239224995897
GCF_002302565.1	2.1817841018228967e-05
GCF_014353055.1	3.052348201565038e-05
GCF_011058315.1	4.600017712217733e-05
GCF_007362475.1	2.525710659745718e-05
GCF_003455905.1	2.2570180363685137e-05
GCF_022488405.1	2.1817841018228967e-05
GCF_900460995.1	5.470581811959874e-05
GCF_003815915.1	3.202816070656272e-05
GCF_003860545.1	3.643471972994887e-05
GCF_002770595.1	2.8158986929930982e-05
GCF_022811665.1	3.21356377559136e-05
GCF_003815615.1	2.4934675449404533e-05
GCF_004328965.1	2.1495409870176322e-05
GCF_900182655.1	2.4612244301351888e-05
GCF_020084865.1	2.192531806757985e-05
GCF_003860525.1	4.664503941828262e-05
GCF_003614945.1	0.00016884644453023503
GCF_036209505.1	6.749558699235365e-05
GCF_019552185.1	0.0001228462674080577
GCF_030517065.1	4.0303893506580603e-05
GCF_900538225.1	0.00012725282643144382
GCF_006088815.1	3.364031644682595e-05
GCF_000689455.1	2.5579537745509824e-05
GCF_907163105.1	4.868710335594937e-05
GCF_002763815.1	0.009662724121891012
GCF_003019755.1	0.0008179003455602091
GCF_014217355.1	0.0006783951355027648
GCF_001457555.1	0.0005516796943180753
GCF_001546435.1	0.0005971424861934983
GCF_001296145.1	0.00029835628899804734
GCF_016724785.1	0.00011521539690414509
GCF_019552005.1	0.0001664819494445156
GCF_001274535.1	0.0015721742779046962
GCF_030644325.1	0.00017164084781335793
GCF_018128245.1	4.524783777672116e-05
GCF_018128225.1	2.2570180363685137e-05
GCF_007990365.1	0.00023118313315374634
GCA_938021125.1	7.7168521433933e-05
GCF_007990545.2	7.566384274302066e-05
GCF_007990525.1	7.050494437417833e-05
GCF_007990635.1	6.749558699235365e-05
GCF_007990505.1	4.524783777672116e-05
GCF_015219785.1	0.0004028239809671043
GCF_024181085.1	3.718705907540504e-05
GCF_024181185.1	4.954691975075642e-05
GCF_024181325.1	4.1701095148142064e-05
GCF_024181165.1	4.062632465463325e-05
GCF_024181145.1	2.611692299226423e-05
GCF_000775995.1	2.3215042659790428e-05
GCF_024181405.1	0.00011027145263400454
GCF_010365865.1	0.00010350039852489899
GCF_017161225.1	6.351893616637104e-05
GCF_031583755.1	4.750485581308967e-05
GCF_001298465.1	0.00042292218919571915
GCF_004803815.1	0.00015422956581851512
GCF_001190745.1	7.168719191703804e-05
GCF_004803795.1	5.180393778712494e-05
GCF_021222645.1	0.00045215594661915896
GCF_005697565.1	7.899563127289798e-05
GCF_000803625.1	5.7070313205318134e-05
GCF_018866205.1	0.000203346577371868
GCF_000001405.40	0.0033379147216903303
GCF_001041795.1	0.0002564402397512035
GCF_000848885.1	0.0002197905659225529
GCF_000886415.1	0.00013595846742886524
GCF_001882175.1	0.0002663281282914846
GCF_001884675.1	5.072916729361612e-05
GCF_000921895.1	3.793939842086121e-05
GCF_001881695.1	2.5579537745509824e-05
GCF_009734245.1	4.127118695073854e-05
