accession	reads
GCF_004104465.2	247410
GCF_016549395.1	148081
GCF_000722765.2	109205
GCF_900477945.1	59665
GCF_008253725.1	43638
GCF_002005185.1	38055
GCF_002998595.1	34303
GCF_900475505.1	31371
GCF_002966695.1	30537
GCF_013394715.1	23264
GCF_027945475.1	22739
GCF_001683375.1	19798
GCF_012273215.1	18493
GCF_026810185.1	17311
GCF_002302595.1	16419
GCF_037911965.1	15909
GCF_000001405.40	15564
GCF_024346585.1	14622
GCF_019973735.1	14125
GCF_002355895.1	12012
GCF_003627155.1	11147
GCF_900637555.1	10918
GCF_037963785.1	10162
GCF_002302415.1	9977
GCF_029691405.1	9883
GCF_037076355.1	8532
GCF_001262035.1	8096
GCF_009731465.1	7601
GCF_000221985.1	7396
GCF_017753665.1	7356
GCF_020735385.1	7085
GCF_001274535.1	7035
GCF_013267415.1	6723
GCF_019334745.1	6492
GCF_900637305.1	5978
GCF_016694895.1	5773
GCF_006228325.1	5374
GCF_900636505.1	5023
GCF_020097435.1	3621
GCF_002763695.1	3540
GCF_002209445.1	3405
GCF_018127745.1	3249
GCF_016127855.1	3108
GCF_020736165.1	2970
GCF_020735905.1	2913
GCF_013267735.1	2747
GCF_032387735.1	2737
GCF_005696855.1	2669
GCF_026057735.1	2663
GCF_013267835.1	2584
GCF_019930845.1	2573
GCF_900475315.1	2417
GCF_001548235.1	2360
GCF_032340315.1	2359
GCF_024205685.1	2024
GCF_003351545.1	1999
GCF_008330925.1	1962
GCF_037911955.1	1956
GCF_001262075.1	1911
GCF_016887735.2	1812
GCF_001553685.1	1803
GCF_019931005.1	1791
GCF_013009555.1	1490
GCF_019551945.1	1462
GCF_008728395.1	1457
GCF_900478185.1	1421
GCF_002094955.1	1355
GCF_016127115.1	1307
GCF_013394695.1	1271
GCF_017798005.1	1257
GCF_940796315.1	1212
GCF_000479315.1	1194
GCF_005696695.1	1180
GCF_946902905.1	1113
GCF_008330025.1	1091
GCF_037889265.1	1077
GCF_900637975.1	1076
GCF_002999135.1	1073
GCF_022749515.1	1054
GCF_032163505.1	1054
GCF_024730685.1	1030
GCF_003033925.1	1010
GCF_019552345.1	988
GCF_029011355.1	979
GCF_020091485.1	953
GCF_024759225.1	946
GCF_023822465.1	874
GCF_003390995.1	860
GCF_002763715.1	810
GCF_037911825.1	795
GCF_009730375.1	748
GCF_016117815.1	742
GCF_016127595.1	715
GCF_943181435.1	700
GCF_021497965.1	688
GCF_014054985.1	675
GCF_010443215.1	654
GCF_002302615.1	621
GCF_900186995.1	616
GCF_018289135.1	612
GCF_009730295.1	608
GCF_019930905.1	608
GCF_030644185.1	589
GCF_018128305.1	582
GCF_003351565.1	580
GCF_001587175.1	553
GCF_900637515.1	502
GCF_002082765.1	496
GCF_007990545.2	485
GCF_011801285.1	480
GCF_008369705.1	478
GCF_038424135.1	475
GCF_003812445.1	470
GCF_019334725.1	467
GCF_920939465.1	466
GCF_013393365.1	452
GCF_018127845.1	451
GCF_011612265.2	450
GCF_018127725.1	419
GCF_002849795.1	418
GCF_005221285.1	415
GCF_001278825.1	410
GCF_030008055.1	407
GCF_002356055.1	398
GCF_022845675.1	388
GCF_003627135.1	378
GCF_018406505.1	375
GCF_032452855.1	368
GCF_900636445.1	363
GCF_018128205.1	355
GCF_008805035.1	348
GCF_004124015.1	345
GCF_035666155.1	343
GCF_916618745.1	341
GCF_014596425.2	336
GCF_018289295.1	318
GCF_008727815.1	315
GCF_030219305.1	315
GCF_016127355.1	308
GCF_963360645.1	303
GCF_900636365.1	295
GCF_001278845.1	295
GCF_018127805.1	292
GCF_963677685.1	292
GCF_002998835.1	290
GCF_032342915.1	288
GCF_003019755.1	287
GCF_007990505.1	284
GCF_007990365.1	283
GCF_900187285.1	279
GCF_022845615.1	278
GCF_015219785.1	267
GCF_022870885.1	261
GCF_024760065.1	255
GCF_019334785.1	249
GCF_030644365.1	244
GCF_009867035.2	244
GCF_008831345.1	240
GCF_034134805.1	234
GCF_900636525.1	233
GCF_946902045.1	225
GCF_003265305.2	225
GCF_036320655.1	224
GCF_004115325.2	224
GCF_010587025.1	223
GCF_001298465.1	218
GCF_013394735.1	216
GCF_009734245.1	205
GCF_030408675.1	203
