accession	reads
GCF_000722765.2	1255322
GCF_008253725.1	730667
GCF_008330025.1	443034
GCF_004104465.2	309802
GCF_016549395.1	274999
GCF_900477945.1	262116
GCF_037076355.1	202600
GCF_012273215.1	195527
GCF_002966695.1	179439
GCF_024346585.1	165540
GCF_002998595.1	161507
GCF_000001405.40	130354
GCF_000221985.1	128404
GCF_003627155.1	125686
GCF_009731465.1	105087
GCF_900475315.1	55513
GCF_020735385.1	38318
GCF_001548235.1	34422
GCF_032340315.1	29576
GCF_900636505.1	26443
GCF_026810185.1	25765
GCF_020735905.1	23648
GCF_900475505.1	22591
GCF_018127745.1	20948
GCF_001553685.1	20280
GCF_008330925.1	20064
GCF_017753665.1	18523
GCF_943181435.1	16488
GCF_002849795.1	16013
GCF_002094955.1	15860
GCF_002355895.1	15438
GCF_037963785.1	13429
GCF_002763715.1	11948
GCF_018127845.1	11771
GCF_032163505.1	11597
GCF_029011355.1	11525
GCF_001683375.1	10786
GCF_024205685.1	10204
GCF_006228325.1	9985
GCF_029691405.1	9647
GCF_013394695.1	9592
GCF_016887735.2	8982
GCF_946902905.1	8827
GCF_002005185.1	8739
GCF_003351565.1	8652
GCF_940796315.1	8190
GCF_900636745.1	8070
GCF_001262035.1	8014
GCF_900478185.1	7642
GCF_001587175.1	7617
GCF_021497965.1	7603
GCF_019552345.1	7137
GCF_030219305.1	6931
GCF_003101015.1	6858
GCF_000479315.1	6718
GCF_002763695.1	6342
GCF_018128125.1	6266
GCF_002983685.1	6240
GCF_013267835.1	5861
GCF_009730295.1	5718
GCF_013267735.1	5300
GCF_003261035.1	5134
GCF_002082765.1	5005
GCF_037911965.1	4962
GCF_020097435.1	4949
GCF_011455695.1	4791
GCF_007975365.1	4531
GCF_000742795.1	4396
GCF_003265305.2	4371
GCF_017798005.1	4135
GCF_023822465.1	4050
GCF_963677685.1	4033
GCF_010443215.1	3997
GCF_011801285.1	3976
GCF_038424135.1	3950
GCF_023035175.1	3941
GCF_016697125.1	3925
GCF_001298465.1	3860
GCF_026057735.1	3857
GCF_027945475.1	3661
GCF_009828705.1	3655
GCF_016127115.1	3601
GCF_019931005.1	3578
GCF_900636445.1	3543
