accession	reads
GCF_022749515.1	3533
GCF_034134805.1	3523
GCF_900637655.1	3473
GCF_018128205.1	3471
GCF_007990545.2	3461
GCF_002849775.1	3436
GCF_900636525.1	3393
GCF_014541205.1	3152
GCF_000886415.1	3047
GCF_003627135.1	3002
GCF_920939465.1	2866
GCF_001444445.1	2863
GCF_020735565.1	2856
GCF_018127805.1	2842
GCF_032451715.1	2815
GCF_018127765.1	2761
GCF_008727815.1	2752
GCF_013393365.1	2737
GCF_008728395.1	2671
GCF_013267415.1	2663
GCF_024730685.1	2607
GCF_019334785.1	2560
GCF_018289135.1	2493
GCF_018128305.1	2445
GCF_003351545.1	2409
GCF_027923645.1	2361
GCF_035658435.1	2274
GCF_005696695.1	2272
GCF_020735865.1	2264
GCF_032387735.1	2223
GCF_018127725.1	2213
GCF_900186995.1	2199
GCF_002356055.1	2196
GCF_019930905.1	2186
GCF_026811325.1	2044
GCF_030517085.1	2044
GCF_029773625.1	2041
GCF_018289295.1	2029
GCF_016127875.1	1981
GCF_008369705.1	1980
GCF_900637315.1	1969
GCF_963360645.1	1960
GCF_035666155.1	1959
GCF_037911955.1	1957
GCF_018406505.1	1945
GCF_946902045.1	1935
GCF_016888945.1	1910
GCF_023204875.1	1816
GCF_005221285.1	1786
GCF_019249725.2	1658
GCF_034137685.1	1640
GCF_002998435.1	1635
GCF_004519515.1	1608
GCF_021222645.1	1601
GCF_019334725.1	1590
GCF_011455495.1	1565
GCF_028743775.1	1512
GCF_016117815.1	1504
GCF_001041795.1	1483
GCF_000848885.1	1467
GCF_004124015.1	1464
GCF_013394715.1	1452
GCF_019551475.1	1441
GCF_024205305.1	1433
GCF_029773605.1	1420
GCF_024760065.1	1397
GCF_028335765.1	1383
GCF_018128245.1	1351
GCF_900636465.1	1351
GCF_033814055.1	1349
GCF_900638305.1	1339
GCF_030062915.1	1301
GCF_029774155.1	1296
GCF_021654515.1	1291
GCF_000521605.1	1277
GCF_022845615.1	1265
GCF_030644365.1	1236
GCF_002302595.1	1234
GCF_900637515.1	1233
GCF_037889265.1	1202
GCF_013009555.1	1201
GCF_022024015.1	1185
GCF_020341675.1	1178
GCF_022024035.1	1158
GCF_000783815.2	1152
GCF_020091485.1	1084
GCF_017347605.1	1080
GCF_009792335.1	1078
GCF_010587025.1	1048
GCF_024181185.1	1041
GCF_009867035.2	1039
GCF_022024075.1	1039
GCF_900637555.1	1021
GCF_002998535.1	1006
GCF_013377275.1	1000
GCF_009684715.1	979
GCF_022024055.1	978
GCF_020097375.1	976
GCF_019334745.1	962
GCF_001708305.1	948
GCF_003019755.1	939
GCF_037967965.1	918
GCF_012113595.1	916
GCF_032342915.1	913
GCF_016694895.1	901
GCF_018389405.1	891
GCF_016415165.1	886
GCF_020091345.1	877
GCF_020091405.1	875
GCF_032452855.1	870
GCF_900635785.1	866
GCF_001274535.1	854
GCF_023161985.2	850
GCF_032611355.1	837
GCF_015356115.1	832
GCF_018986875.1	822
GCF_004803915.1	822
GCF_963677565.1	816
GCF_014596425.2	807
GCF_900636575.1	801
GCF_004803695.1	799
GCF_037966635.1	795
GCF_002073815.2	777
GCF_018127985.1	769
GCF_024759225.1	769
GCF_008831345.1	768
GCF_001884675.1	747
GCF_900476255.1	744
GCF_009670965.2	744
GCF_900187175.1	736
GCF_900635775.1	724
GCF_020714665.1	723
GCF_963693435.1	706
GCF_025914175.1	688
GCF_900187085.1	688
GCF_001553915.1	673
GCF_030008055.1	666
GCF_000973085.1	665
GCF_014054985.1	663
GCF_020550085.1	661
GCF_020181455.1	661
GCF_022024195.1	655
GCF_032594935.1	651
GCF_900186835.1	646
GCF_038630745.1	641
GCF_009730375.1	623
GCF_002302415.1	617
GCF_030644385.1	615
GCF_027474865.2	609
GCF_037911825.1	605
GCF_018289315.1	599
GCF_001885145.1	598
GCF_036320655.1	595
GCF_003033925.1	586
GCF_002998925.1	583
GCF_020736165.1	573
GCF_900638385.1	564
GCF_900636365.1	557
GCF_001598035.1	549
GCF_902141225.1	548
GCF_017750945.1	546
GCF_018128225.1	541
GCF_900475025.1	538
GCF_023361095.1	536
GCF_020091425.1	533
GCF_025914115.1	522
GCF_963967315.1	509
GCF_013377195.1	509
GCF_900187245.1	499
GCF_029991125.1	494
GCF_963666085.1	493
GCF_016906085.1	488
GCF_963360665.1	488
GCF_038396755.1	485
GCF_013377295.1	481
GCF_014353055.1	480
GCF_001921945.1	478
GCF_018137985.1	478
GCF_014055025.1	476
GCF_002302615.1	468
GCF_900187285.1	465
GCF_030517105.1	462
GCF_002073795.1	462
GCF_014898075.1	461
GCF_005473905.2	459
GCF_011612265.2	457
GCF_014844995.1	457
GCF_003815955.1	451
GCF_023611925.1	446
GCF_001623565.1	441
GCF_027474965.1	439
GCF_027474505.1	438
GCF_963664505.1	437
GCF_003860605.1	435
GCF_030064365.1	434
GCF_902141215.1	434
GCF_020138415.1	432
GCF_025914295.1	430
GCF_014844095.1	428
GCF_023744375.2	428
GCF_022267555.1	425
GCF_030759015.1	424
GCF_022404755.1	424
GCF_014163495.1	419
GCF_002237445.1	416
GCF_024628805.1	416
GCF_007990635.1	414
GCF_023611905.1	406
GCF_010320145.1	401
GCF_900128725.1	398
GCF_003595525.1	396
GCF_026684175.1	395
GCF_907163105.1	384
GCF_032595075.1	381
GCF_022354665.1	379
GCF_030848225.1	372
GCF_022532105.1	371
GCF_900475595.1	364
GCF_038269515.1	363
GCF_017639855.1	362
GCF_900475365.1	355
GCF_029339075.1	350
GCF_003589745.1	348
GCF_025152665.1	347
GCF_011058315.1	346
GCF_008803015.1	346
GCF_006770445.1	345
GCF_036492635.1	343
GCF_014702245.1	337
GCF_024722395.1	335
GCF_016127855.1	334
GCF_900699785.1	334
GCF_963667355.1	332
GCF_009676955.1	332
GCF_002209445.1	331
GCF_001189555.1	330
GCF_019551945.1	329
GCF_963931395.1	325
GCF_036323475.1	323
GCF_900120165.1	316
GCF_016127595.1	313
GCF_007990505.1	310
GCF_007990365.1	304
GCF_009866825.1	304
GCF_963667135.1	300
GCF_034270385.1	299
GCF_023674465.1	299
GCF_928852565.1	298
GCF_022488405.1	295
GCF_011299335.1	294
GCF_004355185.1	291
GCF_036416795.1	290
GCF_014879975.1	290
GCF_002999135.1	290
GCF_001642085.1	289
GCF_003815835.1	285
GCF_009193325.2	285
GCF_009295945.1	284
GCF_000963865.1	280
GCF_036209505.1	280
GCF_036322665.1	279
GCF_002216145.1	278
GCF_016725645.1	278
GCF_010692925.1	274
GCF_036511535.1	273
GCF_019774635.1	272
GCF_016127355.1	268
GCF_009913235.1	267
GCF_006542665.1	264
GCF_002951025.1	260
GCF_000011805.1	258
GCF_021172165.1	253
GCF_951229915.1	253
GCF_900095795.1	253
GCF_018866345.1	252
GCF_003086355.1	249
GCF_024181625.1	247
GCF_019930845.1	246
GCF_014334015.1	244
GCF_003351945.1	242
GCF_013357625.1	242
GCF_030644325.1	240
GCF_008327825.1	239
GCF_004328965.1	238
GCF_000921895.1	237
GCF_030408675.1	236
GCF_018866205.1	236
GCF_001554015.1	234
GCF_003963555.1	234
GCF_032594915.1	229
GCF_022430525.1	229
GCF_009671065.1	229
GCF_025947285.1	228
GCF_002240055.1	228
GCF_019702945.1	227
GCF_018336895.1	227
GCF_030166715.1	227
GCF_034345625.1	226
GCF_009936295.1	226
GCF_900636885.1	224
GCF_001553645.1	222
GCF_900636515.1	221
GCF_024722315.1	221
GCF_027594765.1	219
GCF_011455875.1	217
GCF_003991565.1	217
GCF_024652885.1	216
GCF_005165545.1	215
GCF_003390995.1	212
GCF_004337365.2	209
GCF_900095135.1	209
GCF_030296935.1	209
GCF_001593605.1	208
GCF_003815875.1	208
GCF_007197715.1	208
GCF_007990525.1	205
GCF_002302635.1	205
GCF_024759285.1	203
GCF_001443605.1	201
GCF_020162275.1	200
