accession	seq_abundance
GCF_009769205.1	0.941613083810027
GCF_001063045.1	0.004654908005692727
GCF_003053085.1	0.0009914963907954443
GCF_000191545.1	0.0003971899060542386
GCF_028607025.1	0.0016863323306670031
GCF_025311515.1	0.0003045451140713641
GCF_009913655.1	0.00021288590498192442
GCF_000722675.1	0.0011334203274500606
GCF_900475045.1	0.0006770954477897318
GCF_901544385.1	0.00020500124183444574
GCF_900186885.1	0.0011284924129828864
GCF_013394715.1	0.003838845369928683
GCF_016694895.1	0.0007007494372321679
GCF_000186965.1	0.0004040889863082824
GCF_016127955.1	0.002805954497608976
GCF_016127855.1	0.00022175615102283793
GCF_001061305.1	0.003761969904240766
GCF_900637985.1	0.00024541014046527396
GCF_008868665.1	0.0013403927350713759
GCF_001053035.1	0.00027300646148144936
GCF_000001405.40	0.03340337542429343
