accession	reads
GCF_009933525.1	4648402
GCF_000001405.40	36907
GCF_018228625.1	30034
GCF_002849915.1	9616
GCF_024930265.1	9504
GCF_021729805.1	9055
GCF_030687795.1	7166
GCF_002591235.1	6702
GCF_016126935.1	6095
GCF_003609795.1	2896
GCF_023523445.1	2315
GCF_029201605.1	1583
GCF_017498665.1	1556
GCF_030687275.1	1256
GCF_033096405.1	1204
GCF_001922385.1	1094
GCF_016066915.1	1040
GCF_016406145.1	920
GCF_009734365.1	706
GCF_028607025.1	666
GCF_014268375.2	631
GCF_035621435.1	581
GCF_004346925.1	469
GCF_900636675.1	405
GCF_038109155.1	343
GCF_002082135.1	330
GCF_021432025.1	324
GCF_028747225.1	318
GCF_004141835.1	306
GCF_034348165.1	306
GCF_000263675.1	281
GCF_008801925.2	270
GCF_014235165.1	266
GCF_022404755.1	256
GCF_023896015.1	240
GCF_034479775.1	238
GCF_008824185.1	235
GCF_918429265.1	230
GCF_002966775.1	222
GCF_009827115.1	221
GCF_002075105.1	210
GCF_003076795.1	204
GCF_000698295.1	203
GCF_003390995.1	201
GCF_900235815.1	200
